candidate,S,replicate,seed,p30_all_bootstrap
S1680,1680,0,20260712,0.25
S1680,1680,1,20260712,0.3333333333333333
S1680,1680,2,20260712,0.25
S1680,1680,3,20260712,0.25
S1680,1680,4,20260712,0.3333333333333333
S1680,1680,5,20260712,0.3333333333333333
S1680,1680,6,20260712,0.25
S1680,1680,7,20260712,0.16666666666666666
S1680,1680,8,20260712,0.3333333333333333
S1680,1680,9,20260712,0.3333333333333333
S1680,1680,10,20260712,0.3333333333333333
S1680,1680,11,20260712,0.3333333333333333
S1680,1680,12,20260712,0.25
S1680,1680,13,20260712,0.25
S1680,1680,14,20260712,0.3333333333333333
S1680,1680,15,20260712,0.25
S1680,1680,16,20260712,0.25
S1680,1680,17,20260712,0.3333333333333333
S1680,1680,18,20260712,0.16666666666666666
S1680,1680,19,20260712,0.16666666666666666
S1680,1680,20,20260712,0.25
S1680,1680,21,20260712,0.25
S1680,1680,22,20260712,0.16666666666666666
S1680,1680,23,20260712,0.25
S1680,1680,24,20260712,0.16666666666666666
S1680,1680,25,20260712,0.16666666666666666
S1680,1680,26,20260712,0.16666666666666666
S1680,1680,27,20260712,0.25
S1680,1680,28,20260712,0.25
S1680,1680,29,20260712,0.16666666666666666
