candidate,S,scenario,replicate,seed,C1,C2,c_min,max_gap_s,avg_multiplicity,strict_double_time_rate,altitude_km,coverage_radius_km
single_S1302,1302,baseline,-1,0,1.0,0.8051181223733199,1,0.0,2.6787460935864202,0.0,550.0,506.0
single_S1302,1302,altitude_525km,-1,0,1.0,0.7979323499107879,1,0.0,2.6975895768839875,0.0,525.0,506.0
single_S1302,1302,altitude_575km,-1,0,1.0,0.7942462944937166,1,0.0,2.682103859284054,0.0,575.0,506.0
single_S1302,1302,radius_480km,-1,0,1.0,0.7611075607199245,1,0.0,2.443212075563847,0.0,550.0,480.0
single_S1302,1302,radius_530km,-1,0,1.0,0.8647285302006856,1,0.0,2.9444485922072485,0.0,550.0,530.0
double_S1480,1480,baseline,-1,0,0.9957808894502193,0.9577291919296692,0,14400.0,2.644345591221154,0.14285714285714285,550.0,506.0
double_S1480,1480,altitude_525km,-1,0,0.9957808894502193,0.9712580618202248,0,14400.0,2.663002931499617,0.2857142857142857,525.0,506.0
double_S1480,1480,altitude_575km,-1,0,1.0,0.9634581387332396,1,0.0,2.6834134341499416,0.14285714285714285,575.0,506.0
double_S1480,1480,radius_480km,-1,0,0.9917153165565518,0.8947678888943739,0,14400.0,2.3743568901346883,0.14285714285714285,550.0,480.0
double_S1480,1480,radius_530km,-1,0,1.0,0.9915617789004385,1,0.0,2.9124027227824607,0.7142857142857143,550.0,530.0
