t_s,u,v,load_gbps
0.0,315,316,0.15151515151515144
0.0,316,317,0.1363636363636363
0.0,317,318,0.12121212121212116
0.0,280,319,0.12121212121212116
0.0,318,319,0.10606060606060602
0.0,282,320,0.10606060606060602
0.0,320,398,0.10606060606060602
0.0,398,436,0.10606060606060602
0.0,280,281,0.09090909090909088
0.0,436,474,0.09090909090909088
900.0,1345,1346,0.12121212121212116
900.0,1305,1306,0.10606060606060602
900.0,1344,1345,0.10606060606060602
900.0,1304,1305,0.09090909090909088
900.0,1343,1344,0.09090909090909088
900.0,354,392,0.09090909090909088
900.0,392,430,0.09090909090909088
900.0,278,316,0.09090909090909088
900.0,426,427,0.09090909090909088
900.0,234,235,0.09090909090909088
1800.0,1377,1378,0.1363636363636363
1800.0,156,194,0.1363636363636363
1800.0,341,342,0.12121212121212116
1800.0,342,343,0.12121212121212116
1800.0,343,344,0.12121212121212116
1800.0,345,346,0.12121212121212116
1800.0,1376,1377,0.10606060606060602
1800.0,194,232,0.10606060606060602
1800.0,420,421,0.10606060606060602
1800.0,228,229,0.10606060606060602
2700.0,1371,1372,0.1363636363636363
2700.0,335,336,0.12121212121212116
2700.0,336,337,0.10606060606060602
2700.0,337,338,0.10606060606060602
2700.0,1370,1371,0.10606060606060602
2700.0,260,261,0.10606060606060602
2700.0,338,339,0.09090909090909088
2700.0,339,340,0.09090909090909088
2700.0,340,341,0.09090909090909088
2700.0,1368,1369,0.09090909090909088
3600.0,368,369,0.1363636363636363
3600.0,369,370,0.1363636363636363
3600.0,372,373,0.12121212121212116
3600.0,370,371,0.10606060606060602
3600.0,371,372,0.09090909090909088
3600.0,373,374,0.09090909090909088
3600.0,337,375,0.09090909090909088
3600.0,1364,1365,0.09090909090909088
3600.0,1365,1366,0.09090909090909088
3600.0,143,181,0.09090909090909088
4500.0,369,407,0.16666666666666657
4500.0,407,445,0.16666666666666657
4500.0,445,483,0.16666666666666657
4500.0,483,521,0.15151515151515144
4500.0,521,599,0.15151515151515144
4500.0,599,637,0.15151515151515144
4500.0,331,369,0.15151515151515144
4500.0,362,363,0.1363636363636363
4500.0,363,364,0.12121212121212116
4500.0,366,367,0.12121212121212116
5400.0,1431,1432,0.12121212121212116
5400.0,1392,1393,0.10606060606060602
5400.0,438,439,0.10606060606060602
5400.0,1391,1392,0.09090909090909088
5400.0,1430,1431,0.09090909090909088
5400.0,434,435,0.09090909090909088
5400.0,435,436,0.09090909090909088
5400.0,436,437,0.09090909090909088
5400.0,363,401,0.09090909090909088
5400.0,325,363,0.09090909090909088
6300.0,432,433,0.1363636363636363
6300.0,433,434,0.1363636363636363
6300.0,428,429,0.12121212121212116
6300.0,429,430,0.12121212121212116
6300.0,396,434,0.12121212121212116
6300.0,358,396,0.12121212121212116
6300.0,430,431,0.10606060606060602
6300.0,1385,1386,0.09090909090909088
6300.0,1386,1387,0.09090909090909088
