t_s,count,reachable_count,unreachable_count,unreachable_rate,mean_s,max_s,p50_s,p90_s,p95_s,p99_s,within_limit_rate
0.0,132,132,0,0.0,0.025795324008503144,0.053047288402219714,0.025591841461075092,0.03826008256528689,0.04454016583910425,0.05170107628584939,0.7121212121212122
900.0,132,132,0,0.0,0.02623245311706529,0.05723516108610996,0.0255740215013803,0.03913144398106729,0.04552240738704766,0.0545131321085955,0.6818181818181818
1800.0,132,132,0,0.0,0.02720690929943006,0.05953985829573569,0.026744350872194296,0.038952240859881755,0.046335115091600876,0.05805767139173277,0.6515151515151515
2700.0,132,132,0,0.0,0.026604392989810925,0.05323869012445556,0.025409661515730375,0.03912427628944795,0.04665087270072671,0.05176162291853468,0.6666666666666666
3600.0,132,132,0,0.0,0.02610730164764866,0.053049693583485366,0.025197508903353674,0.036334841489625146,0.044575689639620907,0.051046113117120824,0.6666666666666666
4500.0,132,132,0,0.0,0.02714642544393493,0.07498280620733681,0.0259324969662324,0.04413411186245511,0.052984527083041855,0.06973756901574715,0.6666666666666666
5400.0,132,132,0,0.0,0.026010441578270413,0.053067835262538,0.0253567076336597,0.03925114165788458,0.044408580750806545,0.05086629709148438,0.6818181818181818
6300.0,132,132,0,0.0,0.02586491461859436,0.05354715203299163,0.024410673669262,0.03824814154178544,0.04566580916950914,0.0512112244745242,0.696969696969697
7200.0,132,132,0,0.0,0.026074716762734502,0.059095591016753816,0.025342417200443987,0.03643167557327342,0.04547481591258703,0.05572525133907961,0.696969696969697
8100.0,132,132,0,0.0,0.02852196611591925,0.07204813126425764,0.02726954097642697,0.046603703908728235,0.05367216411898859,0.07000562148202616,0.6060606060606061
9000.0,132,132,0,0.0,0.02688173662443377,0.06578205261877944,0.026167478113230787,0.04428264463066676,0.04494392186046726,0.06186053756922659,0.6363636363636364
9900.0,132,132,0,0.0,0.02600674357417732,0.05291225795593882,0.02544348630007706,0.0393807123444354,0.04440593748002788,0.05079707977359331,0.7121212121212122
