t_s,ground_point_count,min_access,max_access,mean_access,empty_count
0.0,12,2,4,2.4166666666666665,0
900.0,12,2,4,2.3333333333333335,0
1800.0,12,1,3,2.0833333333333335,0
2700.0,12,2,3,2.1666666666666665,0
3600.0,12,2,3,2.3333333333333335,0
4500.0,12,1,3,2.25,0
5400.0,12,2,3,2.1666666666666665,0
6300.0,12,2,4,2.5,0
7200.0,12,2,3,2.4166666666666665,0
8100.0,12,1,3,2.0833333333333335,0
9000.0,12,1,3,2.3333333333333335,0
9900.0,12,2,3,2.3333333333333335,0
10800.0,12,2,4,2.5,0
11700.0,12,2,4,2.4166666666666665,0
12600.0,12,1,3,2.4166666666666665,0
13500.0,12,2,3,2.3333333333333335,0
14400.0,12,2,3,2.25,0
15300.0,12,2,4,2.25,0
16200.0,12,2,4,2.1666666666666665,0
17100.0,12,2,3,2.25,0
18000.0,12,1,4,2.3333333333333335,0
18900.0,12,2,3,2.3333333333333335,0
19800.0,12,2,3,2.4166666666666665,0
20700.0,12,2,3,2.3333333333333335,0
21600.0,12,2,3,2.3333333333333335,0
22500.0,12,1,3,2.0833333333333335,0
23400.0,12,2,3,2.4166666666666665,0
24300.0,12,1,3,2.25,0
25200.0,12,1,3,2.4166666666666665,0
26100.0,12,1,3,2.25,0
27000.0,12,2,4,2.5833333333333335,0
27900.0,12,2,3,2.25,0
28800.0,12,1,3,2.25,0
29700.0,12,2,3,2.3333333333333335,0
30600.0,12,2,3,2.4166666666666665,0
31500.0,12,2,4,2.4166666666666665,0
32400.0,12,2,4,2.1666666666666665,0
33300.0,12,2,4,2.3333333333333335,0
34200.0,12,2,4,2.5,0
35100.0,12,2,3,2.25,0
36000.0,12,1,4,2.4166666666666665,0
36900.0,12,2,3,2.3333333333333335,0
37800.0,12,2,4,2.3333333333333335,0
38700.0,12,1,3,2.0,0
39600.0,12,2,3,2.3333333333333335,0
40500.0,12,1,3,2.25,0
41400.0,12,2,3,2.3333333333333335,0
42300.0,12,2,4,2.4166666666666665,0
43200.0,12,2,4,2.5,0
44100.0,12,2,3,2.25,0
45000.0,12,1,3,2.3333333333333335,0
45900.0,12,2,3,2.1666666666666665,0
46800.0,12,2,3,2.3333333333333335,0
47700.0,12,2,4,2.4166666666666665,0
48600.0,12,2,4,2.1666666666666665,0
49500.0,12,2,3,2.1666666666666665,0
50400.0,12,2,4,2.5,0
51300.0,12,1,3,2.25,0
52200.0,12,1,4,2.4166666666666665,0
53100.0,12,2,3,2.3333333333333335,0
54000.0,12,2,4,2.5,0
54900.0,12,1,3,2.0833333333333335,0
55800.0,12,2,3,2.1666666666666665,0
56700.0,12,1,3,2.1666666666666665,0
57600.0,12,2,3,2.5,0
58500.0,12,2,4,2.3333333333333335,0
59400.0,12,2,4,2.5,0
60300.0,12,2,4,2.3333333333333335,0
61200.0,12,1,4,2.5,0
62100.0,12,2,3,2.1666666666666665,0
63000.0,12,2,4,2.3333333333333335,0
63900.0,12,2,4,2.4166666666666665,0
64800.0,12,2,4,2.3333333333333335,0
65700.0,12,1,3,2.1666666666666665,0
66600.0,12,2,3,2.4166666666666665,0
67500.0,12,1,3,2.3333333333333335,0
68400.0,12,1,4,2.4166666666666665,0
69300.0,12,2,4,2.4166666666666665,0
70200.0,12,0,4,2.5,1
71100.0,12,1,3,2.0833333333333335,0
72000.0,12,2,3,2.25,0
72900.0,12,1,3,2.0833333333333335,0
73800.0,12,2,3,2.3333333333333335,0
74700.0,12,1,4,2.3333333333333335,0
75600.0,12,2,4,2.3333333333333335,0
76500.0,12,2,4,2.3333333333333335,0
77400.0,12,1,4,2.3333333333333335,0
78300.0,12,1,3,2.0833333333333335,0
79200.0,12,1,4,2.3333333333333335,0
80100.0,12,2,4,2.5,0
81000.0,12,2,3,2.25,0
81900.0,12,1,3,2.1666666666666665,0
82800.0,12,2,3,2.3333333333333335,0
83700.0,12,1,3,2.1666666666666665,0
84600.0,12,2,3,2.4166666666666665,0
85500.0,12,2,4,2.4166666666666665,0
86164.09,12,1,3,2.25,0
