t_s,source,target,delay_s,hop_count,path
0.0,0,1,0.027666281863225745,6,315-316-317-318-356-394-432
0.0,0,2,0.04600185430524315,11,315-316-317-318-319-280-281-359-397-435-473-511
0.0,0,3,0.053047288402219714,13,315-316-317-318-319-280-281-282-320-398-436-474-512-550
0.0,0,4,0.0154085676312752,3,315-316-278-200
0.0,0,5,0.02072374734963119,4,315-316-317-318-319
0.0,0,6,0.04153650961432371,10,315-316-317-318-319-280-281-282-320-398-436
0.0,0,7,0.04454016583910425,13,315-316-317-318-319-241-203-165-127-89-51-13-1464-1426
0.0,0,8,0.026656565345403498,7,315-277-239-161-123-85-47-9
0.0,0,9,0.02961038074624989,8,315-316-317-279-201-163-125-87-49
0.0,0,10,0.032580894598079155,8,315-316-317-318-319-280-242-204-166
0.0,0,11,0.0355268647910825,8,315-316-317-318-319-280-281-282-244
0.0,1,0,0.027666281863225752,6,432-394-356-318-317-316-315
0.0,1,2,0.02414071918892901,5,432-433-434-435-473-511
0.0,1,3,0.031969240981123845,7,432-433-434-435-436-474-512-550
0.0,1,4,0.020391236624387202,4,1195-1194-1193-1192-1191
0.0,1,5,0.015412646364500498,3,1195-1194-1232-1270
0.0,1,6,0.020458462193227837,4,432-433-434-435-436
0.0,1,7,0.02779434204170245,6,432-433-434-435-436-437-475
0.0,1,8,0.029767124103527644,8,1195-1194-1193-1231-1269-1307-1345-1383-1421
0.0,1,9,0.026753655066732232,7,1195-1233-1271-1309-1347-1385-1423-1461
0.0,1,10,0.030454866657577833,8,432-433-434-396-358-280-242-204-166
0.0,1,11,0.03189210524207963,8,432-433-434-435-436-398-320-282-244
0.0,2,0,0.046001854305243145,11,511-473-435-397-359-281-280-319-318-317-316-315
0.0,2,1,0.02414071918892901,5,511-473-435-434-433-432
0.0,2,3,0.012606154483111972,2,511-512-550
0.0,2,4,0.03927499417771801,9,1274-1273-1272-1271-1270-1269-1268-1267-1229-1191
0.0,2,5,0.02099276307422639,4,1274-1273-1272-1271-1270
0.0,2,6,0.015542677180964042,3,511-512-474-436
0.0,2,7,0.015928126010592458,3,511-512-513-475
0.0,2,8,0.03277139360240387,8,1312-1311-1310-1309-1308-1307-1345-1383-1421
0.0,2,9,0.0285804235479395,7,1312-1311-1310-1309-1347-1385-1423-1461
0.0,2,10,0.02666716873524192,7,511-473-435-397-359-281-243-205
0.0,2,11,0.026976320229815835,7,511-512-474-436-398-320-282-244
0.0,3,0,0.053047288402219714,13,550-512-474-436-398-320-282-281-280-319-318-317-316-315
0.0,3,1,0.031969240981123845,7,550-512-474-436-435-434-433-432
0.0,3,2,0.012606154483111972,2,550-512-511
0.0,3,4,0.04870466867199289,14,1352-1351-1350-1349-1348-1386-1424-1462-11-49-87-125-163-201-200
0.0,3,5,0.0356098440702302,8,1352-1351-1350-1349-1348-1347-1346-1308-1270
0.0,3,6,0.015454371708335123,3,550-512-474-436
0.0,3,7,0.015716321410611363,3,550-551-513-475
0.0,3,8,0.038267923447140854,9,1352-1351-1350-1349-1348-1347-1346-1345-1383-1421
0.0,3,9,0.033536922744216956,8,1352-1351-1350-1349-1348-1347-1385-1423-1461
0.0,3,10,0.03045455465538712,8,1352-1351-1389-1427-1465-14-52-90-128
0.0,3,11,0.026888014757186916,7,550-512-474-436-398-320-282-244
0.0,4,0,0.0154085676312752,3,200-278-316-315
0.0,4,1,0.020391236624387205,4,1191-1192-1193-1194-1195
0.0,4,2,0.03927499417771801,9,1191-1229-1267-1268-1269-1270-1271-1272-1273-1274
0.0,4,3,0.0487046686719929,14,200-201-163-125-87-49-11-1462-1424-1386-1348-1349-1350-1351-1352
0.0,4,5,0.022433158119900237,5,1191-1229-1267-1268-1269-1270
0.0,4,6,0.03252616112042201,10,200-201-163-125-87-49-11-1462-1424-1386-1387
0.0,4,7,0.03421971982703602,10,200-201-202-164-126-88-50-12-1463-1425-1426
0.0,4,8,0.022061232952397467,6,200-162-124-86-48-10-9
0.0,4,9,0.018625318591020373,5,200-201-163-125-87-49
0.0,4,10,0.023149140881118566,5,200-201-202-203-204-166
0.0,4,11,0.02702079759497633,6,200-201-202-203-204-205-167
0.0,5,0,0.02072374734963119,4,319-318-317-316-315
0.0,5,1,0.015412646364500496,3,1270-1232-1194-1195
0.0,5,2,0.02099276307422639,4,1270-1271-1272-1273-1274
0.0,5,3,0.03560984407023021,8,1270-1308-1346-1347-1348-1349-1350-1351-1352
0.0,5,4,0.02243315811990024,5,1270-1269-1268-1267-1229-1191
0.0,5,6,0.025309771458738146,6,319-280-281-282-320-398-436
0.0,5,7,0.028313427683518688,9,319-241-203-165-127-89-51-13-1464-1426
0.0,5,8,0.018899227675981834,5,1270-1269-1307-1345-1383-1421
0.0,5,9,0.022289635343457896,6,1270-1308-1346-1384-1422-1460-1461
0.0,5,10,0.0163541564424936,4,319-280-242-204-166
0.0,5,11,0.01930012663549694,4,319-280-281-282-244
0.0,6,0,0.0415365096143237,10,436-398-320-282-281-280-319-318-317-316-315
0.0,6,1,0.020458462193227837,4,436-435-434-433-432
0.0,6,2,0.015542677180964042,3,436-474-512-511
0.0,6,3,0.015454371708335123,3,436-474-512-550
0.0,6,4,0.032526161120422004,10,1387-1386-1424-1462-11-49-87-125-163-201-200
0.0,6,5,0.025309771458738143,6,436-398-320-282-281-280-319
0.0,6,7,0.01127947276891373,2,436-437-475
0.0,6,8,0.022877488804980226,5,1387-1386-1385-1384-1383-1421
0.0,6,9,0.017627300709281292,4,1387-1386-1385-1423-1461
0.0,6,10,0.021607264821039876,6,1387-1425-1463-12-50-88-89
0.0,6,11,0.015377235969290911,4,436-398-320-282-244
0.0,7,0,0.04454016583910425,13,1426-1464-13-51-89-127-165-203-241-319-318-317-316-315
0.0,7,1,0.027794342041702447,6,475-437-436-435-434-433-432
0.0,7,2,0.015928126010592458,3,475-513-512-511
0.0,7,3,0.015716321410611363,3,475-513-551-550
0.0,7,4,0.034219719827036005,10,1426-1425-1463-12-50-88-126-164-202-201-200
0.0,7,5,0.02831342768351869,9,1426-1464-13-51-89-127-165-203-241-319
0.0,7,6,0.011279472768913728,2,475-437-436
0.0,7,8,0.025360672453220816,5,1426-1425-1424-1423-1422-1421
0.0,7,9,0.01970699401937636,4,1426-1425-1424-1423-1461
0.0,7,10,0.015480463743344745,4,1465-14-52-90-128
0.0,7,11,0.021640104830181084,6,1465-14-52-90-128-166-167
0.0,8,0,0.0266565653454035,7,9-47-85-123-161-239-277-315
0.0,8,1,0.029767124103527647,8,1421-1383-1345-1307-1269-1231-1193-1194-1195
0.0,8,2,0.03277139360240387,8,1421-1383-1345-1307-1308-1309-1310-1311-1312
0.0,8,3,0.038267923447140854,9,1421-1383-1345-1346-1347-1348-1349-1350-1351-1352
0.0,8,4,0.022061232952397463,6,9-10-48-86-124-162-200
0.0,8,5,0.01889922767598183,5,1421-1383-1345-1307-1269-1270
0.0,8,6,0.022877488804980226,5,1421-1383-1384-1385-1386-1387
0.0,8,7,0.025360672453220816,5,1421-1422-1423-1424-1425-1426
0.0,8,9,0.011265291759958086,2,9-1460-1461
0.0,8,10,0.025823010468929368,6,9-10-11-49-50-88-89
0.0,8,11,0.03818951462860118,10,9-10-11-49-50-88-89-127-128-166-167
0.0,9,0,0.02961038074624989,8,49-87-125-163-201-279-317-316-315
0.0,9,1,0.026753655066732236,7,1461-1423-1385-1347-1309-1271-1233-1195
0.0,9,2,0.0285804235479395,7,1461-1423-1385-1347-1309-1310-1311-1312
0.0,9,3,0.03353692274421696,8,1461-1423-1385-1347-1348-1349-1350-1351-1352
0.0,9,4,0.018625318591020373,5,49-87-125-163-201-200
0.0,9,5,0.02228963534345789,6,1461-1460-1422-1384-1346-1308-1270
0.0,9,6,0.01762730070928129,4,1461-1423-1385-1386-1387
0.0,9,7,0.01970699401937636,4,1461-1423-1424-1425-1426
0.0,9,8,0.011265291759958086,2,1461-1460-9
0.0,9,10,0.015078793245226943,3,49-50-88-89
0.0,9,11,0.027445297404898754,7,49-50-88-89-127-128-166-167
0.0,10,0,0.03258089459807916,8,166-204-242-280-319-318-317-316-315
0.0,10,1,0.03045486665757783,8,166-204-242-280-358-396-434-433-432
0.0,10,2,0.02666716873524192,7,205-243-281-359-397-435-473-511
0.0,10,3,0.03045455465538712,8,128-90-52-14-1465-1427-1389-1351-1352
0.0,10,4,0.023149140881118562,5,166-204-203-202-201-200
0.0,10,5,0.0163541564424936,4,166-204-242-280-319
0.0,10,6,0.021607264821039883,6,89-88-50-12-1463-1425-1387
0.0,10,7,0.015480463743344745,4,128-90-52-14-1465
0.0,10,8,0.02582301046892937,6,89-88-50-49-11-10-9
0.0,10,9,0.015078793245226943,3,89-88-50-49
0.0,10,11,0.00692444315066461,1,205-167
0.0,11,0,0.0355268647910825,8,244-282-281-280-319-318-317-316-315
0.0,11,1,0.03189210524207963,8,244-282-320-398-436-435-434-433-432
0.0,11,2,0.026976320229815838,7,244-282-320-398-436-474-512-511
0.0,11,3,0.026888014757186916,7,244-282-320-398-436-474-512-550
0.0,11,4,0.027020797594976328,6,167-205-204-203-202-201-200
0.0,11,5,0.019300126635496944,4,244-282-281-280-319
0.0,11,6,0.015377235969290911,4,244-282-320-398-436
0.0,11,7,0.021640104830181084,6,167-166-128-90-52-14-1465
0.0,11,8,0.03818951462860118,10,167-166-128-127-89-88-50-49-11-10-9
0.0,11,9,0.027445297404898754,7,167-166-128-127-89-88-50-49
0.0,11,10,0.00692444315066461,1,167-205
900.0,0,1,0.02424300120188234,5,1110-1148-1186-1187-1188-1189
900.0,0,2,0.04608903374325958,11,1110-1148-1186-1224-1262-1300-1301-1302-1303-1304-1305-1306
900.0,0,3,0.05723516108610996,14,1110-1148-1186-1224-1262-1300-1338-1339-1340-1341-1342-1343-1344-1345-1346
900.0,0,4,0.01565947056610545,3,309-310-272-234
900.0,0,5,0.021017667892627927,4,347-348-349-350-351
900.0,0,6,0.039259205162179775,9,347-348-349-350-351-352-353-354-392-430
900.0,0,7,0.045522407387047666,13,309-310-311-312-313-275-237-199-121-83-45-7-1458-1459
900.0,0,8,0.02666999107162124,7,309-271-233-195-157-119-41-3
900.0,0,9,0.028601790170466414,7,309-310-311-312-274-236-198-120
900.0,0,10,0.03284429611552647,8,309-310-311-312-313-314-276-238-160
900.0,0,11,0.03589448756534854,8,309-310-311-312-313-314-315-316-278
900.0,1,0,0.024243001201882344,5,1189-1188-1187-1186-1148-1110
900.0,1,2,0.0277544497587903,6,1189-1227-1265-1303-1304-1305-1306
900.0,1,3,0.039219074945897985,9,426-427-428-429-430-431-469-507-545-583
900.0,1,4,0.020591517616860434,4,1189-1188-1187-1186-1185
900.0,1,5,0.015423554283062446,3,426-427-389-351
900.0,1,6,0.02032457310420105,4,426-427-428-429-430
900.0,1,7,0.0277799633290885,6,426-427-428-429-430-431-469
900.0,1,8,0.030374775203263097,8,1189-1188-1187-1225-1263-1301-1339-1377-1415
900.0,1,9,0.02680690378580164,7,426-388-350-312-274-236-198-120
900.0,1,10,0.029883169043915993,8,426-427-428-390-352-314-276-238-160
900.0,1,11,0.0313982623739473,8,426-427-428-429-430-392-354-316-278
900.0,2,0,0.04608903374325958,11,1306-1305-1304-1303-1302-1301-1300-1262-1224-1186-1148-1110
900.0,2,1,0.027754449758790302,6,1306-1305-1304-1303-1265-1227-1189
900.0,2,3,0.016564271314627656,3,1306-1344-1345-1346
900.0,2,4,0.041653484627299085,10,1306-1305-1304-1303-1302-1301-1300-1299-1261-1223-1185
900.0,2,5,0.020896952809534686,4,1306-1305-1304-1303-1302
900.0,2,6,0.0155181004590512,3,1306-1305-1343-1381
900.0,2,7,0.01968550621805062,4,543-544-545-507-469
900.0,2,8,0.03254606832108296,8,1306-1305-1304-1303-1302-1301-1339-1377-1415
900.0,2,9,0.02961275417280841,8,1306-1305-1304-1342-1380-1418-1456-5-43
900.0,2,10,0.026714398154844284,7,1306-1344-1382-1420-1458-7-45-83
900.0,2,11,0.03027120584577486,8,543-544-506-468-430-392-354-316-278
