sequence,mode,stage,candidate_key,elapsed_s
0,discover,low,"[90,16,22,50.0,0.0,0.0]",380.96090139999797
1,discover,low,"[90,16,22,50.0,0.0,11.25]",380.9633202999976
2,discover,low,"[90,16,22,50.0,0.0,16.875]",380.9654440000013
3,discover,low,"[90,16,22,50.0,0.0,5.625]",380.96724339999855
4,discover,low,"[90,16,22,50.25,0.0,11.25]",380.96927199999845
5,discover,low,"[90,16,22,50.25,0.0,5.625]",380.9716256000029
6,discover,low,"[90,16,22,50.25,0.0,0.0]",380.97527210000044
7,discover,low,"[90,16,22,50.25,0.0,16.875]",380.97996409999905
8,discover,low,"[120,12,80,50.0,0.0,7.5]",380.9857219000005
9,discover,low,"[120,12,80,50.0,0.0,15.0]",380.98949880000146
10,discover,low,"[120,12,80,50.0,0.0,0.0]",380.99307500000214
11,discover,low,"[120,12,80,50.0,0.0,22.5]",380.9965196999983
12,discover,low,"[36,40,30,50.0,0.0,6.75]",380.9986282000027
13,discover,low,"[240,6,200,50.0,0.0,30.0]",381.0010022999995
14,discover,low,"[37,40,31,50.0,0.0,0.0]",381.0039155000013
15,discover,low,"[37,40,31,50.0,0.0,2.25]",381.00637500000084
16,discover,low,"[37,40,31,50.0,0.0,4.5]",381.008887699998
17,discover,low,"[37,40,31,50.0,0.0,6.75]",381.01296899999943
18,discover,low,"[37,40,30,50.25,0.0,0.0]",381.0164686999997
19,discover,low,"[37,40,30,50.25,0.0,2.25]",381.0201113000003
20,discover,low,"[37,40,30,50.25,0.0,4.5]",381.0254762000004
21,discover,low,"[37,40,30,50.25,0.0,6.75]",381.02873779999936
22,discover,low,"[37,40,31,50.25,0.0,0.0]",381.03138279999985
23,discover,low,"[37,40,31,50.25,0.0,4.5]",381.0350795000013
24,discover,low,"[37,40,31,50.25,0.0,2.25]",381.03756980000253
25,discover,low,"[37,40,31,50.25,0.0,6.75]",381.03984539999874
26,discover,low,"[37,40,32,50.25,0.0,0.0]",381.04179889999796
27,discover,low,"[37,40,32,50.25,0.0,2.25]",381.0439613999988
28,discover,low,"[37,40,32,50.25,0.0,6.75]",381.04707789999884
29,discover,low,"[37,40,32,50.25,0.0,4.5]",381.0498783000003
30,discover,low,"[37,40,30,49.75,0.0,4.5]",381.05303630000344
31,discover,low,"[37,40,30,49.75,0.0,2.25]",381.0568182999996
32,discover,low,"[37,40,31,49.75,0.0,6.75]",381.0611658000016
33,discover,low,"[37,40,30,49.75,0.0,6.75]",381.06416119999994
34,discover,low,"[37,40,30,49.75,0.0,0.0]",381.06712210000114
35,discover,low,"[37,40,31,49.75,0.0,0.0]",381.07022679999864
36,discover,low,"[37,40,31,49.75,0.0,4.5]",381.0719938000002
37,discover,low,"[37,40,31,49.75,0.0,2.25]",381.0734271000001
38,discover,low,"[37,40,32,49.75,0.0,4.5]",381.07599560000017
39,discover,low,"[37,40,32,49.75,0.0,2.25]",381.07862750000277
40,discover,low,"[37,40,32,49.75,0.0,6.75]",381.0810257000012
41,discover,low,"[37,40,32,49.75,0.0,0.0]",381.0833784999995
42,discover,low,"[37,40,31,51.0,0.0,2.25]",381.08696860000055
43,discover,low,"[37,40,31,51.0,0.0,4.5]",381.09079389999897
44,discover,low,"[37,40,31,51.0,0.0,0.0]",381.09316749999925
45,discover,low,"[37,40,31,51.0,0.0,6.75]",381.0956565999986
46,discover,low,"[125,12,84,49.75,0.0,7.5]",381.1000819000001
47,discover,low,"[125,12,84,49.75,0.0,0.0]",381.10111320000215
48,discover,low,"[125,12,84,49.75,0.0,15.0]",381.10222090000025
49,discover,low,"[125,12,84,49.75,0.0,22.5]",381.1040209999992
50,discover,low,"[125,12,84,50.25,0.0,7.5]",381.10579829999915
51,discover,low,"[125,12,84,50.25,0.0,0.0]",381.1093397000004
52,discover,low,"[125,12,84,50.25,0.0,15.0]",381.1111791999974
53,discover,low,"[125,12,84,50.25,0.0,22.5]",381.11433000000034
54,discover,low,"[125,12,83,50.0,0.0,15.0]",381.11814930000037
55,discover,low,"[125,12,83,50.0,0.0,0.0]",381.121328600002
56,discover,low,"[125,12,83,50.0,0.0,22.5]",381.12328440000056
57,discover,low,"[125,12,83,50.0,0.0,7.5]",381.1268025999998
58,discover,low,"[125,12,83,50.25,0.0,15.0]",381.1303111999987
59,discover,low,"[125,12,83,50.25,0.0,0.0]",381.13178309999785
