policy,S,stage,count
P30_ge_0.95,1480,p30_upper_bound_below_threshold,32
P30_ge_0.95,1500,delay_lower_bound_reject,4
P30_ge_0.95,1500,p30_upper_bound_below_threshold,28
P30_ge_0.95,1500,topology_reject,4
P30_ge_0.95,1520,delay_lower_bound_reject,1
P30_ge_0.95,1520,p30_upper_bound_below_threshold,51
P30_ge_0.95,1540,delay_lower_bound_reject,2
P30_ge_0.95,1540,p30_upper_bound_below_threshold,54
P30_ge_0.95,1560,p30_upper_bound_below_threshold,67
strict_Tmax30,1480,delay_lower_bound_reject,32
strict_Tmax30,1500,delay_lower_bound_reject,32
strict_Tmax30,1500,topology_reject,4
strict_Tmax30,1520,delay_lower_bound_reject,52
strict_Tmax30,1540,delay_lower_bound_reject,55
strict_Tmax30,1540,strict_delay_violation,1
strict_Tmax30,1560,delay_lower_bound_reject,66
strict_Tmax30,1560,strict_delay_violation,1
