policy,S,M,N,F,i,u0,C1,C2,stage,feasible,message,p30,max_delay_ms,mean_delay_ms,unreachable_rate,reachable_count,sample_count,robustness_margin
strict_Tmax30,1580,158,10,27,50.75,18.0,1.0,0.982831,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,27,50.75,27.0,0.999995,0.982747,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,27,50.75,0.0,1.0,0.982708,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,27,50.75,9.0,1.0,0.982686,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,27,51.25,18.0,0.999928,0.979734,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,27,51.25,27.0,0.999922,0.979664,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,27,51.25,9.0,0.999947,0.979663,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,27,51.25,0.0,0.999927,0.979643,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,50.75,9.0,0.999605,0.972622,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,50.75,18.0,0.999601,0.972584,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,50.75,0.0,0.999615,0.972485,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,50.75,27.0,0.999639,0.972432,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,51.0,9.0,0.999813,0.971409,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,51.0,0.0,0.999779,0.971358,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,51.0,27.0,0.999803,0.971329,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1580,158,10,26,51.0,18.0,0.999808,0.971277,delay_lower_bound_reject,,,,,,,,,
