mode,S,status,candidate_count,verified,rejected,numerical_error
saturation,1480,verified,77,8,69,0
saturation,1500,verified,165,6,159,0
saturation,1520,verified,78,22,56,0
saturation,1540,verified,162,24,138,0
saturation,1560,verified,247,48,199,0
saturation,1600,verified,122,40,82,0
saturation,1620,verified,252,55,197,0
saturation,1640,verified,81,47,34,0
saturation,1680,verified,339,120,219,0
saturation,1700,verified,84,33,51,0
saturation,1720,verified,83,54,29,0
saturation,1740,verified,177,41,136,0
saturation,1760,verified,171,109,62,0
saturation,1800,verified,261,153,108,0
saturation,1820,verified,87,53,34,0
saturation,1840,verified,86,67,19,0
saturation,1860,verified,91,47,44,0
saturation,1880,verified,87,68,19,0
