sequence,mode,stage,candidate_key,elapsed_s
0,saturation,low,"[37,40,0,50.0,0.0,0.0]",101.06087819999811
1,saturation,low,"[37,40,1,50.0,0.0,0.0]",101.06467189999967
2,saturation,low,"[37,40,2,50.0,0.0,0.0]",101.06762330000493
3,saturation,low,"[37,40,3,50.0,0.0,0.0]",101.0707975999976
4,saturation,low,"[37,40,4,50.0,0.0,0.0]",101.073544699997
5,saturation,low,"[37,40,5,50.0,0.0,0.0]",101.07582700000057
6,saturation,low,"[37,40,6,50.0,0.0,0.0]",101.07865949999541
7,saturation,low,"[37,40,7,50.0,0.0,0.0]",101.08261299999867
8,saturation,low,"[37,40,8,50.0,0.0,0.0]",101.08638329999667
9,saturation,low,"[37,40,9,50.0,0.0,0.0]",101.09025470000051
10,saturation,low,"[37,40,10,50.0,0.0,0.0]",101.09512109999923
11,saturation,low,"[37,40,11,50.0,0.0,0.0]",101.09799319999729
12,saturation,low,"[37,40,12,50.0,0.0,0.0]",101.10086030000093
13,saturation,low,"[37,40,13,50.0,0.0,0.0]",101.10456059999706
14,saturation,low,"[37,40,14,50.0,0.0,0.0]",101.10654269999941
15,saturation,low,"[37,40,15,50.0,0.0,0.0]",101.10889529999986
16,saturation,low,"[37,40,16,50.0,0.0,0.0]",101.11152589999983
17,saturation,low,"[37,40,17,50.0,0.0,0.0]",101.11447000000044
18,saturation,low,"[37,40,18,50.0,0.0,0.0]",101.11713360000431
19,saturation,low,"[37,40,19,50.0,0.0,0.0]",101.12008950000018
20,saturation,low,"[37,40,20,50.0,0.0,0.0]",101.123107600004
21,saturation,low,"[37,40,21,50.0,0.0,0.0]",101.1273369000046
22,saturation,low,"[37,40,22,50.0,0.0,0.0]",101.131120500002
23,saturation,low,"[37,40,23,50.0,0.0,0.0]",101.13437349999731
24,saturation,low,"[37,40,24,50.0,0.0,0.0]",101.13777159999881
25,saturation,low,"[37,40,25,50.0,0.0,0.0]",101.14038789999904
26,saturation,low,"[37,40,26,50.0,0.0,0.0]",101.14380939999683
27,saturation,low,"[37,40,27,50.0,0.0,0.0]",101.14738589999615
