t_s,satellite_count,edge_count,max_degree,min_degree,component_count,max_link_distance_km
0.0,1480,2960,4,4,1,1086.0308030648382
900.0,1480,2960,4,4,1,1086.030803064844
1800.0,1480,2960,4,4,1,1086.0308030648384
2700.0,1480,2960,4,4,1,1086.0308030648384
3600.0,1480,2960,4,4,1,1086.0308030648382
4500.0,1480,2960,4,4,1,1086.0308030648384
5400.0,1480,2960,4,4,1,1086.0308030648432
6300.0,1480,2960,4,4,1,1086.0308030648387
7200.0,1480,2960,4,4,1,1086.030803064839
8100.0,1480,2960,4,4,1,1086.03080306485
9000.0,1480,2960,4,4,1,1086.0308030648507
9900.0,1480,2960,4,4,1,1086.0308030648496
10800.0,1480,2960,4,4,1,1086.03080306485
11700.0,1480,2960,4,4,1,1086.0308030648503
12600.0,1480,2960,4,4,1,1086.0308030648382
13500.0,1480,2960,4,4,1,1086.0308030648494
14400.0,1480,2960,4,4,1,1086.030803064839
15300.0,1480,2960,4,4,1,1086.0308030648387
16200.0,1480,2960,4,4,1,1086.0308030648387
17100.0,1480,2960,4,4,1,1086.0308030648387
18000.0,1480,2960,4,4,1,1086.0308030648384
18900.0,1480,2960,4,4,1,1086.0308030648387
19800.0,1480,2960,4,4,1,1086.0308030648616
20700.0,1480,2960,4,4,1,1086.0308030648855
21600.0,1480,2960,4,4,1,1086.0308030648855
22500.0,1480,2960,4,4,1,1086.030803064886
23400.0,1480,2960,4,4,1,1086.0308030648857
24300.0,1480,2960,4,4,1,1086.0308030648857
25200.0,1480,2960,4,4,1,1086.0308030648864
26100.0,1480,2960,4,4,1,1086.0308030648857
27000.0,1480,2960,4,4,1,1086.0308030648857
27900.0,1480,2960,4,4,1,1086.030803064886
28800.0,1480,2960,4,4,1,1086.0308030648857
29700.0,1480,2960,4,4,1,1086.0308030648862
30600.0,1480,2960,4,4,1,1086.030803064886
31500.0,1480,2960,4,4,1,1086.0308030648857
32400.0,1480,2960,4,4,1,1086.0308030648866
33300.0,1480,2960,4,4,1,1086.0308030648857
34200.0,1480,2960,4,4,1,1086.0308030648857
35100.0,1480,2960,4,4,1,1086.0308030648857
36000.0,1480,2960,4,4,1,1086.0308030648862
36900.0,1480,2960,4,4,1,1086.0308030648855
37800.0,1480,2960,4,4,1,1086.030803064886
38700.0,1480,2960,4,4,1,1086.0308030648855
39600.0,1480,2960,4,4,1,1086.0308030648864
40500.0,1480,2960,4,4,1,1086.0308030648857
41400.0,1480,2960,4,4,1,1086.0308030648857
42300.0,1480,2960,4,4,1,1086.0308030648862
43200.0,1480,2960,4,4,1,1086.0308030648857
44100.0,1480,2960,4,4,1,1086.0308030648857
45000.0,1480,2960,4,4,1,1086.0308030648857
45900.0,1480,2960,4,4,1,1086.0308030648857
46800.0,1480,2960,4,4,1,1086.0308030648857
47700.0,1480,2960,4,4,1,1086.0308030648862
48600.0,1480,2960,4,4,1,1086.0308030648869
49500.0,1480,2960,4,4,1,1086.0308030648864
50400.0,1480,2960,4,4,1,1086.0308030648862
51300.0,1480,2960,4,4,1,1086.0308030648869
52200.0,1480,2960,4,4,1,1086.030803064887
53100.0,1480,2960,4,4,1,1086.0308030648869
54000.0,1480,2960,4,4,1,1086.0308030648876
54900.0,1480,2960,4,4,1,1086.030803064887
55800.0,1480,2960,4,4,1,1086.0308030649355
56700.0,1480,2960,4,4,1,1086.0308030648869
57600.0,1480,2960,4,4,1,1086.0308030648869
58500.0,1480,2960,4,4,1,1086.0308030648864
59400.0,1480,2960,4,4,1,1086.0308030648866
60300.0,1480,2960,4,4,1,1086.0308030649358
61200.0,1480,2960,4,4,1,1086.0308030649362
62100.0,1480,2960,4,4,1,1086.0308030649371
63000.0,1480,2960,4,4,1,1086.0308030648869
63900.0,1480,2960,4,4,1,1086.030803064887
64800.0,1480,2960,4,4,1,1086.0308030648866
65700.0,1480,2960,4,4,1,1086.0308030649355
66600.0,1480,2960,4,4,1,1086.0308030649362
67500.0,1480,2960,4,4,1,1086.0308030649355
68400.0,1480,2960,4,4,1,1086.0308030648864
69300.0,1480,2960,4,4,1,1086.0308030648864
70200.0,1480,2960,4,4,1,1086.0308030648862
71100.0,1480,2960,4,4,1,1086.0308030649358
72000.0,1480,2960,4,4,1,1086.0308030649364
72900.0,1480,2960,4,4,1,1086.030803064935
73800.0,1480,2960,4,4,1,1086.0308030649358
74700.0,1480,2960,4,4,1,1086.0308030648862
75600.0,1480,2960,4,4,1,1086.0308030648864
76500.0,1480,2960,4,4,1,1086.0308030648862
77400.0,1480,2960,4,4,1,1086.0308030649353
78300.0,1480,2960,4,4,1,1086.030803064936
79200.0,1480,2960,4,4,1,1086.0308030649364
80100.0,1480,2960,4,4,1,1086.0308030648864
81000.0,1480,2960,4,4,1,1086.0308030648862
81900.0,1480,2960,4,4,1,1086.0308030648864
82800.0,1480,2960,4,4,1,1086.030803064936
83700.0,1480,2960,4,4,1,1086.0308030649355
84600.0,1480,2960,4,4,1,1086.0308030649355
85500.0,1480,2960,4,4,1,1086.0308030648864
86164.09,1480,2960,4,4,1,1086.030803064887
