planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,fast_c_min,fast_single_time_rate,fast_strict_double_time_rate,fast_max_uncovered_gap_s,fast_worst_time_s,fast_mean_critical_points,fast_max_critical_points,fast_stopped_early,fast_evaluated_time_steps
1,1600,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,67229.0,67229,True,1
1,1600,1600,0,50.0,0.0,0.05625,0,0.0,0.0,0.0,0.0,67239.0,67239,True,1
1,1600,1600,0,50.0,0.0,0.1125,0,0.0,0.0,0.0,0.0,67218.0,67218,True,1
1,1600,1600,0,50.0,0.0,0.16875,0,0.0,0.0,0.0,0.0,67204.0,67204,True,1
1,1600,1600,0,50.0,30.0,0.0,0,0.0,0.0,0.0,0.0,68552.0,68552,True,1
1,1600,1600,0,50.0,30.0,0.05625,0,0.0,0.0,0.0,0.0,68567.0,68567,True,1
1,1600,1600,0,50.0,30.0,0.1125,0,0.0,0.0,0.0,0.0,68561.0,68561,True,1
1,1600,1600,0,50.0,30.0,0.16875,0,0.0,0.0,0.0,0.0,68555.0,68555,True,1
1,1600,1600,0,50.0,60.0,0.0,0,0.0,0.0,0.0,0.0,107449.0,107449,True,1
1,1600,1600,0,50.0,60.0,0.05625,0,0.0,0.0,0.0,0.0,107457.0,107457,True,1
