S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1300,4,325,0,49.0,0.0,0.365806,0.359816,0,17100.0,2.4747
1300,4,325,0,49.0,0.554,0.365507,0.359069,0,17100.0,2.4763
1300,4,325,0,50.0,0.0,0.366924,0.362413,0,17100.0,2.5472
1300,4,325,0,50.0,0.554,0.367145,0.362062,0,17100.0,2.5502
1300,4,325,0,51.0,0.0,0.37294,0.36897,0,18000.0,2.6103
1300,4,325,0,51.0,0.554,0.373069,0.368393,0,18000.0,2.609
1300,4,325,1,49.0,0.0,0.365718,0.359613,0,17100.0,2.4758
1300,4,325,1,49.0,0.554,0.365575,0.359315,0,17100.0,2.4747
1300,4,325,1,50.0,0.0,0.366958,0.362468,0,17100.0,2.549
1300,4,325,1,50.0,0.554,0.366961,0.362417,0,17100.0,2.5485
1300,4,325,1,51.0,0.0,0.372908,0.368793,0,18000.0,2.6098
1300,4,325,1,51.0,0.554,0.373121,0.368537,0,18000.0,2.6114
1300,4,325,2,49.0,0.0,0.365747,0.359537,0,17100.0,2.4753
1300,4,325,2,49.0,0.554,0.365565,0.359348,0,17100.0,2.4757
1300,4,325,2,50.0,0.0,0.367116,0.362455,0,17100.0,2.5504
1300,4,325,2,50.0,0.554,0.366953,0.36202,0,17100.0,2.547
1300,4,325,2,51.0,0.0,0.373082,0.368521,0,18000.0,2.6101
1300,4,325,2,51.0,0.554,0.372928,0.368841,0,18000.0,2.6091
1300,4,325,3,49.0,0.0,0.365726,0.359113,0,17100.0,2.4783
1300,4,325,3,49.0,0.554,0.365568,0.359815,0,17100.0,2.4722
1300,4,325,3,50.0,0.0,0.366836,0.362929,0,17100.0,2.5478
1300,4,325,3,50.0,0.554,0.367083,0.361956,0,17100.0,2.5498
1300,4,325,3,51.0,0.0,0.37322,0.368407,0,18000.0,2.6118
1300,4,325,3,51.0,0.554,0.372809,0.368924,0,18000.0,2.6095
1300,5,260,0,49.0,0.0,0.434886,0.423725,0,14400.0,2.4721
1300,5,260,0,49.0,0.692,0.435033,0.423533,0,14400.0,2.4736
1300,5,260,0,50.0,0.0,0.438005,0.429073,0,14400.0,2.5498
1300,5,260,0,50.0,0.692,0.437871,0.429485,0,14400.0,2.5511
1300,5,260,0,51.0,0.0,0.443617,0.43599,0,14400.0,2.6132
1300,5,260,0,51.0,0.692,0.44395,0.435932,0,14400.0,2.6083
1300,5,260,1,49.0,0.0,0.434566,0.424013,0,14400.0,2.4743
1300,5,260,1,49.0,0.692,0.435085,0.42386,0,14400.0,2.4748
1300,5,260,1,50.0,0.0,0.438271,0.429151,0,14400.0,2.5488
1300,5,260,1,50.0,0.692,0.437806,0.429235,0,14400.0,2.5512
1300,5,260,1,51.0,0.0,0.443894,0.435956,0,14400.0,2.6122
1300,5,260,1,51.0,0.692,0.4439,0.435713,0,14400.0,2.6131
1300,5,260,2,49.0,0.0,0.434755,0.423842,0,14400.0,2.4745
1300,5,260,2,49.0,0.692,0.43507,0.423641,0,14400.0,2.4733
1300,5,260,2,50.0,0.0,0.437857,0.429219,0,14400.0,2.5478
1300,5,260,2,50.0,0.692,0.437777,0.429728,0,14400.0,2.5534
1300,5,260,2,51.0,0.0,0.44367,0.435617,0,14400.0,2.6094
1300,5,260,2,51.0,0.692,0.443931,0.435977,0,14400.0,2.6132
1300,5,260,3,49.0,0.0,0.434906,0.423854,0,14400.0,2.4706
1300,5,260,3,49.0,0.692,0.434912,0.424025,0,14400.0,2.478
1300,5,260,3,50.0,0.0,0.438215,0.428627,0,14400.0,2.5464
1300,5,260,3,50.0,0.692,0.4379,0.429622,0,14400.0,2.5531
1300,5,260,3,51.0,0.0,0.444002,0.43575,0,14400.0,2.615
1300,5,260,3,51.0,0.692,0.443811,0.435715,0,14400.0,2.608
1300,5,260,4,49.0,0.0,0.435123,0.423623,0,14400.0,2.476
1300,5,260,4,49.0,0.692,0.435044,0.423694,0,14400.0,2.4693
1300,5,260,4,50.0,0.0,0.438238,0.428932,0,14400.0,2.5577
1300,5,260,4,50.0,0.692,0.437813,0.429704,0,14400.0,2.5432
1300,5,260,4,51.0,0.0,0.44366,0.436121,0,14400.0,2.6223
1300,5,260,4,51.0,0.692,0.443976,0.435486,0,14400.0,2.5992
1300,10,130,0,49.0,0.0,0.716339,0.649823,0,5400.0,2.475
1300,10,130,0,49.0,1.385,0.715848,0.650246,0,5400.0,2.4692
1300,10,130,0,50.0,0.0,0.724487,0.677151,0,6300.0,2.5453
1300,10,130,0,50.0,1.385,0.725492,0.678641,0,6300.0,2.5511
1300,10,130,0,51.0,0.0,0.704451,0.661585,0,5400.0,2.6132
1300,10,130,0,51.0,1.385,0.704874,0.661595,0,5400.0,2.6112
1300,10,130,1,49.0,0.0,0.715843,0.650016,0,5400.0,2.4744
1300,10,130,1,49.0,1.385,0.716338,0.650388,0,5400.0,2.4768
1300,10,130,1,50.0,0.0,0.725253,0.679,0,6300.0,2.5487
1300,10,130,1,50.0,1.385,0.725163,0.678765,0,6300.0,2.5491
1300,10,130,1,51.0,0.0,0.704754,0.662447,0,5400.0,2.611
1300,10,130,1,51.0,1.385,0.704615,0.662527,0,5400.0,2.6089
1300,10,130,2,49.0,0.0,0.716082,0.649592,0,5400.0,2.4759
1300,10,130,2,49.0,1.385,0.715687,0.650221,0,5400.0,2.4754
1300,10,130,2,50.0,0.0,0.724937,0.678864,0,6300.0,2.5518
1300,10,130,2,50.0,1.385,0.72468,0.679391,0,6300.0,2.5524
1300,10,130,2,51.0,0.0,0.704754,0.662467,0,5400.0,2.6167
1300,10,130,2,51.0,1.385,0.704416,0.662473,0,5400.0,2.6148
1300,10,130,3,49.0,0.0,0.716019,0.649019,0,5400.0,2.4756
1300,10,130,3,49.0,1.385,0.716214,0.649129,0,5400.0,2.4747
1300,10,130,3,50.0,0.0,0.72498,0.679247,0,6300.0,2.5489
1300,10,130,3,50.0,1.385,0.724789,0.679508,0,6300.0,2.5489
1300,10,130,3,51.0,0.0,0.704662,0.6619,0,5400.0,2.6106
1300,10,130,3,51.0,1.385,0.704924,0.661386,0,5400.0,2.6119
1300,10,130,5,49.0,0.0,0.716309,0.649031,0,5400.0,2.4725
1300,10,130,5,49.0,1.385,0.715878,0.649123,0,5400.0,2.4717
1300,10,130,5,50.0,0.0,0.72478,0.677823,0,6300.0,2.5479
1300,10,130,5,50.0,1.385,0.724714,0.678173,0,6300.0,2.5485
1300,10,130,5,51.0,0.0,0.704624,0.661799,0,5400.0,2.6116
1300,10,130,5,51.0,1.385,0.704701,0.661842,0,5400.0,2.6129
1300,10,130,7,49.0,0.0,0.715729,0.649467,0,5400.0,2.4751
1300,10,130,7,49.0,1.385,0.71604,0.649771,0,5400.0,2.4762
1300,10,130,7,50.0,0.0,0.724447,0.678712,0,6300.0,2.552
1300,10,130,7,50.0,1.385,0.724238,0.679071,0,6300.0,2.5522
1300,10,130,7,51.0,0.0,0.704553,0.661512,0,5400.0,2.615
1300,10,130,7,51.0,1.385,0.704618,0.662631,0,5400.0,2.6166
1300,10,130,8,49.0,0.0,0.716364,0.648549,0,5400.0,2.4755
1300,10,130,8,49.0,1.385,0.715869,0.649439,0,5400.0,2.4748
1300,10,130,8,50.0,0.0,0.724429,0.678671,0,6300.0,2.5491
1300,10,130,8,50.0,1.385,0.724594,0.678771,0,6300.0,2.5487
1300,10,130,8,51.0,0.0,0.7049,0.661315,0,5400.0,2.6105
1300,10,130,8,51.0,1.385,0.704686,0.662139,0,5400.0,2.612
1300,10,130,9,49.0,0.0,0.715977,0.650564,0,5400.0,2.4698
1300,10,130,9,49.0,1.385,0.71609,0.650703,0,5400.0,2.4679
1300,10,130,9,50.0,0.0,0.724467,0.680429,0,6300.0,2.5434
1300,10,130,9,50.0,1.385,0.724544,0.680429,0,6300.0,2.5429
1300,10,130,9,51.0,0.0,0.704428,0.661875,0,5400.0,2.6098
1300,10,130,9,51.0,1.385,0.70445,0.662409,0,5400.0,2.6104
1300,13,100,0,49.0,0.0,0.793041,0.692934,0,4500.0,2.4717
1300,13,100,0,49.0,1.8,0.793391,0.692506,0,4500.0,2.4736
1300,13,100,0,50.0,0.0,0.804806,0.721173,0,4500.0,2.5476
1300,13,100,0,50.0,1.8,0.804614,0.721154,0,4500.0,2.5472
1300,13,100,0,51.0,0.0,0.788728,0.722574,0,4500.0,2.6062
1300,13,100,0,51.0,1.8,0.789429,0.722203,0,4500.0,2.6099
1300,13,100,1,49.0,0.0,0.793402,0.691663,0,4500.0,2.4754
1300,13,100,1,49.0,1.8,0.793395,0.68999,0,4500.0,2.4714
1300,13,100,1,50.0,0.0,0.804397,0.72328,0,4500.0,2.5473
1300,13,100,1,50.0,1.8,0.805198,0.721334,0,4500.0,2.5475
1300,13,100,1,51.0,0.0,0.78979,0.72322,0,4500.0,2.6094
1300,13,100,1,51.0,1.8,0.789335,0.723028,0,4500.0,2.6093
1300,13,100,2,49.0,0.0,0.793304,0.690493,0,4500.0,2.473
1300,13,100,2,49.0,1.8,0.792629,0.690881,0,4500.0,2.4734
1300,13,100,2,50.0,0.0,0.804998,0.722971,0,4500.0,2.5519
1300,13,100,2,50.0,1.8,0.804105,0.72199,0,4500.0,2.5447
1300,13,100,2,51.0,0.0,0.788999,0.72322,0,4500.0,2.6112
1300,13,100,2,51.0,1.8,0.789533,0.722359,0,4500.0,2.6061
1300,13,100,3,49.0,0.0,0.792841,0.692252,0,4500.0,2.4737
1300,13,100,3,49.0,1.8,0.794417,0.69162,0,4500.0,2.4745
1300,13,100,3,50.0,0.0,0.804927,0.722364,0,4500.0,2.5484
1300,13,100,3,50.0,1.8,0.804555,0.72188,0,4500.0,2.547
1300,13,100,3,51.0,0.0,0.788893,0.721715,0,4500.0,2.6082
1300,13,100,3,51.0,1.8,0.789243,0.722171,0,4500.0,2.6095
1300,13,100,4,49.0,0.0,0.792695,0.694603,0,4500.0,2.4733
1300,13,100,4,49.0,1.8,0.795095,0.690708,0,4500.0,2.4772
1300,13,100,4,50.0,0.0,0.803464,0.722887,0,4500.0,2.5424
1300,13,100,4,50.0,1.8,0.805039,0.725269,0,4500.0,2.5485
1300,13,100,4,51.0,0.0,0.789721,0.723192,0,4500.0,2.6091
1300,13,100,4,51.0,1.8,0.789512,0.723094,0,4500.0,2.6098
1300,13,100,6,49.0,0.0,0.793452,0.690465,0,4500.0,2.4736
1300,13,100,6,49.0,1.8,0.793301,0.691173,0,4500.0,2.4715
1300,13,100,6,50.0,0.0,0.804572,0.723338,0,4500.0,2.5484
1300,13,100,6,50.0,1.8,0.804728,0.722491,0,4500.0,2.547
1300,13,100,6,51.0,0.0,0.789151,0.72237,0,4500.0,2.6042
1300,13,100,6,51.0,1.8,0.789534,0.723028,0,4500.0,2.6082
1300,13,100,9,49.0,0.0,0.79323,0.69004,0,4500.0,2.4733
1300,13,100,9,49.0,1.8,0.792877,0.689989,0,4500.0,2.471
1300,13,100,9,50.0,0.0,0.804194,0.722306,0,4500.0,2.5483
1300,13,100,9,50.0,1.8,0.804932,0.722596,0,4500.0,2.55
1300,13,100,9,51.0,0.0,0.789737,0.722088,0,4500.0,2.6078
1300,13,100,9,51.0,1.8,0.789154,0.722243,0,4500.0,2.6084
1300,13,100,11,49.0,0.0,0.792767,0.688878,0,4500.0,2.4747
1300,13,100,11,49.0,1.8,0.792552,0.689846,0,4500.0,2.4741
1300,13,100,11,50.0,0.0,0.804337,0.721349,0,4500.0,2.5497
1300,13,100,11,50.0,1.8,0.805084,0.721014,0,4500.0,2.5483
1300,13,100,11,51.0,0.0,0.789665,0.722245,0,4500.0,2.6091
1300,13,100,11,51.0,1.8,0.789083,0.722389,0,4500.0,2.6071
1300,13,100,12,49.0,0.0,0.792938,0.689177,0,4500.0,2.4739
1300,13,100,12,49.0,1.8,0.793558,0.68892,0,4500.0,2.4744
1300,13,100,12,50.0,0.0,0.804387,0.72016,0,4500.0,2.5459
1300,13,100,12,50.0,1.8,0.804984,0.72161,0,4500.0,2.5483
1300,13,100,12,51.0,0.0,0.789695,0.721954,0,4500.0,2.6075
1300,13,100,12,51.0,1.8,0.789643,0.722348,0,4500.0,2.6081
1300,20,65,0,49.0,0.0,0.931692,0.739181,0,1800.0,2.4751
1300,20,65,0,49.0,2.769,0.930816,0.739429,0,1800.0,2.4747
1300,20,65,0,50.0,0.0,0.93363,0.783179,0,1800.0,2.5435
1300,20,65,0,50.0,2.769,0.934554,0.786992,0,1800.0,2.5485
1300,20,65,0,51.0,0.0,0.939532,0.763311,0,1800.0,2.6152
1300,20,65,0,51.0,2.769,0.938514,0.764843,0,1800.0,2.6071
1300,20,65,1,49.0,0.0,0.931864,0.74342,0,1800.0,2.4757
1300,20,65,1,49.0,2.769,0.931934,0.744236,0,2700.0,2.4737
