S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1300,130,10,22,50.0,0.0,0.992036,0.877062,0,300.0,2.5966
1300,130,10,22,50.0,9.0,0.992269,0.876963,0,300.0,2.5968
1300,130,10,22,50.0,18.0,0.991903,0.876815,0,300.0,2.5965
1300,130,10,22,50.0,27.0,0.992003,0.876931,0,300.0,2.5969
1300,130,10,22,50.0,0.0,0.992036,0.877062,0,300.0,2.5966
1300,130,10,22,50.0,9.0,0.992269,0.876963,0,300.0,2.5968
1300,130,10,22,50.0,18.0,0.991903,0.876815,0,300.0,2.5965
1300,130,10,22,50.0,27.0,0.992003,0.876931,0,300.0,2.5969
1300,130,10,22,51.0,0.0,0.988609,0.869422,0,300.0,2.5862
1300,130,10,22,51.0,9.0,0.988588,0.869154,0,300.0,2.5861
1300,130,10,22,51.0,18.0,0.988384,0.86893,0,300.0,2.5852
1300,130,10,22,51.0,27.0,0.988478,0.868775,0,300.0,2.5855
1300,65,20,16,51.0,0.0,0.988253,0.86172,0,1500.0,2.5863
1300,65,20,16,51.0,4.5,0.988227,0.861993,0,1500.0,2.5866
1300,65,20,16,51.0,9.0,0.988088,0.861636,0,1500.0,2.5854
1300,65,20,16,51.0,13.5,0.988185,0.861565,0,1500.0,2.5853
1300,130,10,22,51.0,0.0,0.988609,0.869422,0,300.0,2.5862
1300,130,10,22,51.0,9.0,0.988588,0.869154,0,300.0,2.5861
1300,130,10,22,51.0,18.0,0.988384,0.86893,0,300.0,2.5852
1300,130,10,22,51.0,27.0,0.988478,0.868775,0,300.0,2.5855
1300,100,13,33,51.0,0.0,0.991473,0.818048,0,300.0,2.5859
1300,100,13,33,51.0,6.923,0.9914,0.817779,0,300.0,2.5853
1300,100,13,33,51.0,13.846,0.9914,0.817601,0,300.0,2.5855
1300,100,13,33,51.0,20.769,0.991439,0.818153,0,300.0,2.586
1300,65,20,32,51.0,0.0,0.99021,0.802758,0,900.0,2.5856
1300,65,20,32,51.0,4.5,0.990188,0.80273,0,900.0,2.5858
1300,65,20,32,51.0,9.0,0.990103,0.802612,0,900.0,2.5858
1300,65,20,32,51.0,13.5,0.990052,0.802677,0,900.0,2.5854
1300,100,13,33,51.0,0.0,0.991473,0.818048,0,300.0,2.5859
1300,100,13,33,51.0,6.923,0.9914,0.817779,0,300.0,2.5853
1300,100,13,33,51.0,13.846,0.9914,0.817601,0,300.0,2.5855
1300,100,13,33,51.0,20.769,0.991439,0.818153,0,300.0,2.586
1300,65,20,32,51.0,0.0,0.99021,0.802758,0,900.0,2.5856
1300,65,20,32,51.0,4.5,0.990188,0.80273,0,900.0,2.5858
1300,65,20,32,51.0,9.0,0.990103,0.802612,0,900.0,2.5858
1300,65,20,32,51.0,13.5,0.990052,0.802677,0,900.0,2.5854
1300,65,20,16,51.0,0.0,0.988253,0.86172,0,1500.0,2.5863
1300,65,20,16,51.0,4.5,0.988227,0.861993,0,1500.0,2.5866
1300,65,20,16,51.0,9.0,0.988088,0.861636,0,1500.0,2.5854
1300,65,20,16,51.0,13.5,0.988185,0.861565,0,1500.0,2.5853
1300,100,13,33,50.0,0.0,0.99018,0.822529,0,300.0,2.5963
1300,100,13,33,50.0,6.923,0.990113,0.822972,0,300.0,2.597
1300,100,13,33,50.0,13.846,0.990137,0.822749,0,300.0,2.5968
1300,100,13,33,50.0,20.769,0.990039,0.823,0,300.0,2.5971
1300,65,20,16,50.0,0.0,0.988136,0.870542,0,1500.0,2.5968
1300,65,20,16,50.0,4.5,0.98816,0.870566,0,1500.0,2.5966
1300,65,20,16,50.0,9.0,0.988187,0.870357,0,1500.0,2.5969
1300,65,20,16,50.0,13.5,0.988166,0.870256,0,1500.0,2.5967
1300,52,25,13,50.0,0.0,0.973886,0.892265,0,600.0,2.5969
1300,52,25,13,50.0,3.6,0.973719,0.892335,0,600.0,2.5966
1300,52,25,13,50.0,7.2,0.973831,0.892024,0,600.0,2.5962
1300,52,25,13,50.0,10.8,0.973665,0.892317,0,600.0,2.5968
1300,52,25,9,50.0,0.0,0.992425,0.897803,0,600.0,2.5971
1300,52,25,9,50.0,3.6,0.992455,0.897674,0,600.0,2.5968
1300,52,25,9,50.0,7.2,0.992463,0.8978,0,600.0,2.5973
