S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1580,4,395,0,49.0,0.0,0.365832,0.361686,0,17100.0,3.0067
1580,4,395,0,49.0,0.456,0.366137,0.361852,0,17100.0,3.0094
1580,4,395,0,50.0,0.0,0.367205,0.363809,0,17100.0,3.0935
1580,4,395,0,50.0,0.456,0.367098,0.364455,0,17100.0,3.0954
1580,4,395,0,51.0,0.0,0.373365,0.370501,0,18000.0,3.1724
1580,4,395,0,51.0,0.456,0.373361,0.369844,0,18000.0,3.1711
1580,4,395,1,49.0,0.0,0.36595,0.361829,0,17100.0,3.0069
1580,4,395,1,49.0,0.456,0.366035,0.361491,0,17100.0,3.0076
1580,4,395,1,50.0,0.0,0.367105,0.364095,0,17100.0,3.0947
1580,4,395,1,50.0,0.456,0.36724,0.364076,0,17100.0,3.0937
1580,4,395,1,51.0,0.0,0.373431,0.370227,0,18000.0,3.1714
1580,4,395,1,51.0,0.456,0.373355,0.370143,0,18000.0,3.1737
1580,4,395,2,49.0,0.0,0.365952,0.361813,0,17100.0,3.0081
1580,4,395,2,49.0,0.456,0.366017,0.361725,0,17100.0,3.008
1580,4,395,2,50.0,0.0,0.36706,0.36416,0,17100.0,3.0946
1580,4,395,2,50.0,0.456,0.367243,0.364104,0,17100.0,3.0943
1580,4,395,2,51.0,0.0,0.373331,0.370303,0,18000.0,3.1712
1580,4,395,2,51.0,0.456,0.373394,0.370041,0,18000.0,3.1724
1580,4,395,3,49.0,0.0,0.366127,0.361687,0,17100.0,3.0084
1580,4,395,3,49.0,0.456,0.365858,0.361634,0,17100.0,3.0061
1580,4,395,3,50.0,0.0,0.367099,0.364065,0,17100.0,3.0945
1580,4,395,3,50.0,0.456,0.367246,0.364105,0,17100.0,3.094
1580,4,395,3,51.0,0.0,0.373405,0.370104,0,18000.0,3.1728
1580,4,395,3,51.0,0.456,0.373382,0.370266,0,18000.0,3.1724
1580,5,316,0,49.0,0.0,0.435598,0.428305,0,14400.0,3.0086
1580,5,316,0,49.0,0.57,0.435605,0.42798,0,14400.0,3.0075
1580,5,316,0,50.0,0.0,0.43873,0.432556,0,14400.0,3.0974
1580,5,316,0,50.0,0.57,0.438545,0.432511,0,14400.0,3.1008
1580,5,316,0,51.0,0.0,0.444056,0.438634,0,14400.0,3.173
1580,5,316,0,51.0,0.57,0.444241,0.438898,0,14400.0,3.1744
1580,5,316,1,49.0,0.0,0.435996,0.428184,0,14400.0,3.0038
1580,5,316,1,49.0,0.57,0.435264,0.428205,0,14400.0,3.0094
1580,5,316,1,50.0,0.0,0.438547,0.432185,0,14400.0,3.0996
1580,5,316,1,50.0,0.57,0.438442,0.432804,0,14400.0,3.0999
1580,5,316,1,51.0,0.0,0.444021,0.438733,0,14400.0,3.1742
1580,5,316,1,51.0,0.57,0.444354,0.438964,0,14400.0,3.173
1580,5,316,2,49.0,0.0,0.43562,0.428099,0,14400.0,3.0063
1580,5,316,2,49.0,0.57,0.435634,0.428516,0,14400.0,3.0096
1580,5,316,2,50.0,0.0,0.438695,0.432796,0,14400.0,3.0977
1580,5,316,2,50.0,0.57,0.438409,0.432334,0,14400.0,3.1
1580,5,316,2,51.0,0.0,0.44426,0.438772,0,14400.0,3.1738
1580,5,316,2,51.0,0.57,0.44431,0.438656,0,14400.0,3.1725
1580,5,316,3,49.0,0.0,0.43579,0.428372,0,14400.0,3.0078
1580,5,316,3,49.0,0.57,0.435639,0.428125,0,14400.0,3.007
1580,5,316,3,50.0,0.0,0.438637,0.432369,0,14400.0,3.0965
1580,5,316,3,50.0,0.57,0.438469,0.432469,0,14400.0,3.0995
1580,5,316,3,51.0,0.0,0.444129,0.438651,0,14400.0,3.174
1580,5,316,3,51.0,0.57,0.444336,0.439005,0,14400.0,3.1739
1580,5,316,4,49.0,0.0,0.435582,0.42832,0,14400.0,3.0064
