S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1580,158,10,39,50.0,0.0,0.999464,0.94439,0,300.0,3.1557
1580,158,10,39,50.0,9.0,0.999375,0.945032,0,300.0,3.1567
1580,158,10,39,50.0,18.0,0.999507,0.944326,0,300.0,3.1556
1580,158,10,39,50.0,27.0,0.999516,0.944773,0,300.0,3.1562
1580,158,10,39,50.0,0.0,0.999464,0.94439,0,300.0,3.1557
1580,158,10,39,50.0,9.0,0.999375,0.945032,0,300.0,3.1567
1580,158,10,39,50.0,18.0,0.999507,0.944326,0,300.0,3.1556
1580,158,10,39,50.0,27.0,0.999516,0.944773,0,300.0,3.1562
1580,79,20,19,50.0,0.0,0.997922,0.952,0,600.0,3.1564
1580,79,20,19,50.0,4.5,0.997937,0.951877,0,600.0,3.1562
1580,79,20,19,50.0,9.0,0.997956,0.951867,0,600.0,3.1561
1580,79,20,19,50.0,13.5,0.997966,0.951696,0,600.0,3.1561
1580,79,20,19,50.0,0.0,0.997922,0.952,0,600.0,3.1564
1580,79,20,19,50.0,4.5,0.997937,0.951877,0,600.0,3.1562
1580,79,20,19,50.0,9.0,0.997956,0.951867,0,600.0,3.1561
1580,79,20,19,50.0,13.5,0.997966,0.951696,0,600.0,3.1561
1580,158,10,26,51.0,0.0,0.999779,0.971358,0,300.0,3.1428
1580,158,10,26,51.0,9.0,0.999813,0.971409,0,300.0,3.1432
1580,158,10,26,51.0,18.0,0.999808,0.971277,0,300.0,3.1428
1580,158,10,26,51.0,27.0,0.999803,0.971329,0,300.0,3.1427
1580,158,10,26,51.0,0.0,0.999779,0.971358,0,300.0,3.1428
1580,158,10,26,51.0,9.0,0.999813,0.971409,0,300.0,3.1432
1580,158,10,26,51.0,18.0,0.999808,0.971277,0,300.0,3.1428
1580,158,10,26,51.0,27.0,0.999803,0.971329,0,300.0,3.1427
1580,158,10,39,51.0,0.0,0.997898,0.942144,0,300.0,3.1428
1580,158,10,39,51.0,9.0,0.997955,0.94233,0,300.0,3.1417
1580,158,10,39,51.0,18.0,0.997882,0.942318,0,300.0,3.1433
1580,158,10,39,51.0,27.0,0.997793,0.942195,0,300.0,3.1434
1580,158,10,39,51.0,0.0,0.997898,0.942144,0,300.0,3.1428
1580,158,10,39,51.0,9.0,0.997955,0.94233,0,300.0,3.1417
1580,158,10,39,51.0,18.0,0.997882,0.942318,0,300.0,3.1433
1580,158,10,39,51.0,27.0,0.997793,0.942195,0,300.0,3.1434
1580,79,20,39,50.0,0.0,0.999519,0.957117,0,600.0,3.1585
1580,79,20,39,50.0,4.5,0.999549,0.957186,0,300.0,3.1622
1580,79,20,39,50.0,9.0,0.999534,0.957153,0,300.0,3.1537
1580,79,20,39,50.0,13.5,0.999509,0.957133,0,300.0,3.1501
1580,79,20,19,51.0,0.0,0.998066,0.945354,0,600.0,3.1425
1580,79,20,19,51.0,4.5,0.998032,0.945381,0,600.0,3.1428
1580,79,20,19,51.0,9.0,0.998037,0.945339,0,600.0,3.1429
1580,79,20,19,51.0,13.5,0.998051,0.945541,0,600.0,3.143
1580,79,20,19,51.0,0.0,0.998066,0.945354,0,600.0,3.1425
1580,79,20,19,51.0,4.5,0.998032,0.945381,0,600.0,3.1428
1580,79,20,19,51.0,9.0,0.998037,0.945339,0,600.0,3.1429
1580,79,20,19,51.0,13.5,0.998051,0.945541,0,600.0,3.143
1580,79,20,39,50.0,0.0,0.999519,0.957117,0,600.0,3.1585
1580,79,20,39,50.0,4.5,0.999549,0.957186,0,300.0,3.1622
1580,79,20,39,50.0,9.0,0.999534,0.957153,0,300.0,3.1537
1580,79,20,39,50.0,13.5,0.999509,0.957133,0,300.0,3.1501
1580,158,10,26,50.0,0.0,0.998704,0.974848,0,300.0,3.1559
1580,158,10,26,50.0,9.0,0.998687,0.974917,0,300.0,3.1559
1580,158,10,26,50.0,18.0,0.998693,0.97463,0,300.0,3.1551
1580,158,10,26,50.0,27.0,0.998694,0.974999,0,300.0,3.1556
1580,158,10,26,50.0,0.0,0.998704,0.974848,0,300.0,3.1559
1580,158,10,26,50.0,9.0,0.998687,0.974917,0,300.0,3.1559
1580,158,10,26,50.0,18.0,0.998693,0.97463,0,300.0,3.1551
1580,158,10,26,50.0,27.0,0.998694,0.974999,0,300.0,3.1556
1580,79,20,39,51.0,0.0,0.998926,0.950939,0,300.0,3.1451
1580,79,20,39,51.0,4.5,0.998936,0.95096,0,600.0,3.1496
1580,79,20,39,51.0,9.0,0.99901,0.950714,0,600.0,3.1404
1580,79,20,39,51.0,13.5,0.99892,0.950493,0,300.0,3.1362
1580,79,20,39,51.0,0.0,0.998926,0.950939,0,300.0,3.1451
1580,79,20,39,51.0,4.5,0.998936,0.95096,0,600.0,3.1496
1580,79,20,39,51.0,9.0,0.99901,0.950714,0,600.0,3.1404
1580,79,20,39,51.0,13.5,0.99892,0.950493,0,300.0,3.1362
1580,158,10,26,49.0,0.0,0.988647,0.966127,0,300.0,3.125
1580,158,10,26,49.0,9.0,0.988651,0.965942,0,300.0,3.1251
1580,158,10,26,49.0,18.0,0.988652,0.966103,0,300.0,3.125
1580,158,10,26,49.0,27.0,0.98865,0.966116,0,300.0,3.125
1580,158,10,26,49.0,0.0,0.988647,0.966127,0,300.0,3.125
1580,158,10,26,49.0,9.0,0.988651,0.965942,0,300.0,3.1251
1580,158,10,26,49.0,18.0,0.988652,0.966103,0,300.0,3.125
1580,158,10,26,49.0,27.0,0.98865,0.966116,0,300.0,3.125
1580,79,20,40,50.0,0.0,0.995971,0.949373,0,600.0,3.1557
1580,79,20,40,50.0,4.5,0.995966,0.949146,0,600.0,3.1562
1580,79,20,40,50.0,9.0,0.99599,0.949447,0,600.0,3.1561
1580,79,20,40,50.0,13.5,0.996066,0.949616,0,600.0,3.1558
1580,79,20,13,50.0,0.0,0.9966,0.953338,0,600.0,3.1558
1580,79,20,13,50.0,4.5,0.996673,0.953346,0,600.0,3.1542
1580,79,20,13,50.0,9.0,0.99675,0.953361,0,600.0,3.1568
1580,79,20,13,50.0,13.5,0.996678,0.95341,0,600.0,3.1577
1580,158,10,25,50.75,0.0,0.998635,0.951916,0,300.0,3.1458
1580,158,10,25,50.75,9.0,0.998668,0.952023,0,300.0,3.1451
1580,158,10,25,50.75,18.0,0.998607,0.951773,0,300.0,3.1465
1580,158,10,25,50.75,27.0,0.998665,0.95174,0,300.0,3.1474
1580,158,10,25,51.25,0.0,0.998075,0.949305,0,300.0,3.1399
1580,158,10,25,51.25,9.0,0.998094,0.949568,0,300.0,3.1403
1580,158,10,25,51.25,18.0,0.997955,0.949207,0,300.0,3.1397
1580,158,10,25,51.25,27.0,0.998046,0.948969,0,300.0,3.14
1580,158,10,26,50.75,0.0,0.999615,0.972485,0,300.0,3.1456
1580,158,10,26,50.75,9.0,0.999605,0.972622,0,300.0,3.1458
