total_satellites,planes,sats_per_plane,phase_factor,inclination_deg,u0_deg,C1,c_min,max_gap_s,avg_mult,C2_area,C2_strict
800,25,32,0,50.0,0.0,0.869815,0,1200.0,1.598,0.511451,0.0
800,25,32,0,50.0,2.812,0.86991,0,1200.0,1.5972,0.511032,0.0
800,25,32,0,50.0,5.625,0.869714,0,1500.0,1.5982,0.511824,0.0
800,25,32,0,50.0,8.438,0.869059,0,1500.0,1.598,0.511987,0.0
800,25,32,0,53.0,0.0,0.857776,0,1200.0,1.5538,0.478291,0.0
800,25,32,0,53.0,2.812,0.857607,0,1200.0,1.5534,0.47787,0.0
800,25,32,0,53.0,5.625,0.857218,0,1200.0,1.554,0.478844,0.0
800,25,32,0,53.0,8.438,0.856895,0,1500.0,1.5532,0.478641,0.0
800,32,25,0,50.0,0.0,0.857417,0,900.0,1.598,0.555317,0.0
800,32,25,0,50.0,3.6,0.85676,0,900.0,1.5981,0.55583,0.0
800,32,25,0,50.0,7.2,0.857101,0,900.0,1.5981,0.555806,0.0
800,32,25,0,50.0,10.8,0.856784,0,900.0,1.5981,0.556039,0.0
800,32,25,0,53.0,0.0,0.853269,0,1200.0,1.5536,0.507769,0.0
800,32,25,0,53.0,3.6,0.85282,0,1200.0,1.5535,0.508282,0.0
800,32,25,0,53.0,7.2,0.853243,0,1200.0,1.554,0.508278,0.0
800,32,25,0,53.0,10.8,0.852965,0,1200.0,1.5535,0.508247,0.0
800,20,40,0,50.0,0.0,0.883396,0,2400.0,1.5984,0.522743,0.0
800,20,40,0,50.0,2.25,0.883536,0,2400.0,1.5982,0.522463,0.0
800,20,40,0,50.0,4.5,0.88375,0,2400.0,1.5987,0.523089,0.0
800,20,40,0,50.0,6.75,0.883918,0,2400.0,1.5989,0.522498,0.0
800,20,40,0,53.0,0.0,0.871782,0,2700.0,1.5532,0.481228,0.0
800,20,40,0,53.0,2.25,0.872058,0,2700.0,1.5535,0.480908,0.0
800,20,40,0,53.0,4.5,0.872088,0,2700.0,1.5533,0.480939,0.0
800,20,40,0,53.0,6.75,0.872322,0,2700.0,1.5539,0.481201,0.0
800,40,20,0,50.0,0.0,0.875455,0,3300.0,1.5985,0.497994,0.0
800,40,20,0,50.0,4.5,0.876425,0,3300.0,1.5992,0.498617,0.0
800,40,20,0,50.0,9.0,0.875198,0,3300.0,1.5983,0.49805,0.0
800,40,20,0,50.0,13.5,0.875237,0,3300.0,1.5974,0.496608,0.0
800,40,20,0,53.0,0.0,0.850687,0,3600.0,1.5534,0.47176,0.0
800,40,20,0,53.0,4.5,0.851192,0,3600.0,1.5536,0.472452,0.0
800,40,20,0,53.0,9.0,0.850708,0,3600.0,1.553,0.47116,0.0
800,40,20,0,53.0,13.5,0.850514,0,3600.0,1.5534,0.470745,0.0
1000,25,40,0,50.0,0.0,0.933232,0,10800.0,1.9974,0.672563,0.0
1000,25,40,0,50.0,2.25,0.933417,0,10800.0,1.9973,0.6724,0.0
1000,25,40,0,50.0,4.5,0.933187,0,10800.0,1.997,0.672469,0.0
1000,25,40,0,50.0,6.75,0.933529,0,10800.0,1.9978,0.672425,0.0
1000,25,40,0,53.0,0.0,0.931613,0,2100.0,1.9422,0.640235,0.0
1000,25,40,0,53.0,2.25,0.93167,0,2100.0,1.9421,0.640334,0.0
1000,25,40,0,53.0,4.5,0.931863,0,2100.0,1.9418,0.640175,0.0
1000,25,40,0,53.0,6.75,0.931525,0,2100.0,1.942,0.6403,0.0
1000,40,25,0,50.0,0.0,0.951627,0,600.0,1.9975,0.662434,0.0
1000,40,25,0,50.0,3.6,0.951518,0,600.0,1.9971,0.662575,0.0
1000,40,25,0,50.0,7.2,0.952211,0,600.0,1.9972,0.662512,0.0
1000,40,25,0,50.0,10.8,0.951835,0,600.0,1.9982,0.663338,0.0
1000,40,25,0,53.0,0.0,0.938767,0,600.0,1.9412,0.616992,0.0
1000,40,25,0,53.0,3.6,0.938464,0,600.0,1.9418,0.61764,0.0
1000,40,25,0,53.0,7.2,0.939018,0,600.0,1.9432,0.617307,0.0
1000,40,25,0,53.0,10.8,0.938987,0,600.0,1.9422,0.617155,0.0
1000,20,50,0,50.0,0.0,0.929573,0,1800.0,1.9971,0.642144,0.0
1000,20,50,0,50.0,1.8,0.92929,0,1800.0,1.9977,0.64239,0.0
1000,20,50,0,50.0,3.6,0.929694,0,1800.0,1.9975,0.642414,0.0
1000,20,50,0,50.0,5.4,0.929562,0,1800.0,1.9968,0.642172,0.0
1000,20,50,0,53.0,0.0,0.909895,0,2100.0,1.9421,0.607204,0.0
1000,20,50,0,53.0,1.8,0.909454,0,1800.0,1.9424,0.607429,0.0
1000,20,50,0,53.0,3.6,0.909959,0,1800.0,1.9416,0.607141,0.0
1000,20,50,0,53.0,5.4,0.910334,0,2100.0,1.9418,0.606897,0.0
1000,50,20,0,50.0,0.0,0.903639,0,2700.0,1.9972,0.617636,0.0
1000,50,20,0,50.0,4.5,0.904184,0,2700.0,1.9987,0.618301,0.0
1000,50,20,0,50.0,9.0,0.903538,0,2700.0,1.9973,0.617236,0.0
1000,50,20,0,50.0,13.5,0.903515,0,2700.0,1.9959,0.616347,0.0
1000,50,20,0,53.0,0.0,0.881304,0,3000.0,1.9425,0.579393,0.0
1000,50,20,0,53.0,4.5,0.881955,0,3000.0,1.9435,0.580023,0.0
1000,50,20,0,53.0,9.0,0.881335,0,3000.0,1.9417,0.578764,0.0
1000,50,20,0,53.0,13.5,0.881318,0,3000.0,1.9404,0.577978,0.0
1200,40,30,0,50.0,0.0,0.988537,0,300.0,2.3969,0.815524,0.0
1200,40,30,0,50.0,3.0,0.988398,0,300.0,2.3969,0.815126,0.0
1200,40,30,0,50.0,6.0,0.988521,0,300.0,2.3969,0.816129,0.0
1200,40,30,0,50.0,9.0,0.988515,0,300.0,2.3971,0.816702,0.0
1200,40,30,0,53.0,0.0,0.981425,0,300.0,2.3306,0.775013,0.0
1200,40,30,0,53.0,3.0,0.981602,0,300.0,2.3301,0.774391,0.0
1200,40,30,0,53.0,6.0,0.981235,0,300.0,2.3302,0.775657,0.0
1200,40,30,0,53.0,9.0,0.980721,0,300.0,2.3307,0.775845,0.0
1200,30,40,0,50.0,0.0,0.978236,0,1500.0,2.3976,0.815431,0.0
1200,30,40,0,50.0,2.25,0.978567,0,1500.0,2.3975,0.815448,0.0
1200,30,40,0,50.0,4.5,0.978745,0,1500.0,2.3979,0.815357,0.0
1200,30,40,0,50.0,6.75,0.978843,0,1500.0,2.3982,0.815036,0.0
