total_satellites,planes,sats_per_plane,phase_factor,inclination_deg,u0_deg,C1,c_min,max_gap_s,avg_mult,C2_area,C2_strict
1450,50,29,0,50.0,0.0,0.992683,0,300.0,2.8963,0.897761,0.0
1450,50,29,0,50.0,2.069,0.992428,0,300.0,2.8973,0.897673,0.0
1450,50,29,0,50.0,4.138,0.993149,0,300.0,2.8963,0.8977,0.0
1450,50,29,0,50.0,6.207,0.992626,0,300.0,2.8965,0.897878,0.0
1450,50,29,0,50.0,8.276,0.992339,0,300.0,2.8967,0.897893,0.0
1450,50,29,0,50.0,10.345,0.993109,0,300.0,2.8956,0.897789,0.0
1450,50,29,1,50.0,0.0,0.995536,0,300.0,2.8959,0.905587,0.0
1450,50,29,1,50.0,2.069,0.995297,0,300.0,2.8959,0.906213,0.0
1450,50,29,1,50.0,4.138,0.995372,0,300.0,2.8969,0.906377,0.0
1450,50,29,1,50.0,6.207,0.995399,0,300.0,2.8971,0.905724,0.0
1450,50,29,1,50.0,8.276,0.995362,0,300.0,2.896,0.904949,0.0
1450,50,29,1,50.0,10.345,0.995604,0,300.0,2.8969,0.90564,0.0
1450,50,29,0,53.0,0.0,0.986689,0,300.0,2.816,0.854892,0.0
1450,50,29,0,53.0,2.069,0.986104,0,300.0,2.8157,0.854898,0.0
1450,50,29,0,53.0,4.138,0.987432,0,300.0,2.8159,0.854757,0.0
1450,50,29,0,53.0,6.207,0.986707,0,300.0,2.8163,0.854902,0.0
1450,50,29,0,53.0,8.276,0.985958,0,300.0,2.8157,0.855178,0.0
1450,50,29,0,53.0,10.345,0.987338,0,300.0,2.8164,0.854969,0.0
1450,50,29,1,53.0,0.0,0.987468,0,300.0,2.816,0.875352,0.0
1450,50,29,1,53.0,2.069,0.987374,0,300.0,2.8178,0.875358,0.0
1450,50,29,1,53.0,4.138,0.987953,0,300.0,2.8169,0.87602,0.0
1450,50,29,1,53.0,6.207,0.987337,0,300.0,2.8157,0.875111,0.0
1450,50,29,1,53.0,8.276,0.987361,0,300.0,2.8144,0.875103,0.0
1450,50,29,1,53.0,10.345,0.98836,0,300.0,2.8135,0.874934,0.0
1450,29,50,0,50.0,0.0,0.992157,0,600.0,2.8963,0.90234,0.0
1450,29,50,0,50.0,1.2,0.992183,0,600.0,2.8965,0.902648,0.0
1450,29,50,0,50.0,2.4,0.992074,0,600.0,2.8961,0.902306,0.0
1450,29,50,0,50.0,3.6,0.992105,0,600.0,2.8962,0.902396,0.0
1450,29,50,0,50.0,4.8,0.99206,0,600.0,2.8966,0.902433,0.0
1450,29,50,0,50.0,6.0,0.992124,0,600.0,2.8965,0.902353,0.0
1450,29,50,1,50.0,0.0,0.990163,0,600.0,2.8964,0.910055,0.0
1450,29,50,1,50.0,1.2,0.990229,0,600.0,2.8961,0.909994,0.0
1450,29,50,1,50.0,2.4,0.990245,0,600.0,2.8965,0.909971,0.0
1450,29,50,1,50.0,3.6,0.990222,0,600.0,2.8963,0.909827,0.0
1450,29,50,1,50.0,4.8,0.990175,0,600.0,2.8963,0.909901,0.0
1450,29,50,1,50.0,6.0,0.99013,0,600.0,2.8964,0.910161,0.0
1450,29,50,0,53.0,0.0,0.986963,0,900.0,2.8155,0.878798,0.0
1450,29,50,0,53.0,1.2,0.98697,0,900.0,2.816,0.87889,0.0
1450,29,50,0,53.0,2.4,0.98691,0,900.0,2.8161,0.878882,0.0
1450,29,50,0,53.0,3.6,0.987043,0,900.0,2.816,0.878921,0.0
1450,29,50,0,53.0,4.8,0.986898,0,900.0,2.8156,0.878659,0.0
1450,29,50,0,53.0,6.0,0.98693,0,900.0,2.8155,0.878679,0.0
1450,29,50,1,53.0,0.0,0.985213,0,900.0,2.8155,0.876699,0.0
1450,29,50,1,53.0,1.2,0.985186,0,900.0,2.8156,0.876792,0.0
1450,29,50,1,53.0,2.4,0.985247,0,900.0,2.8154,0.876767,0.0
1450,29,50,1,53.0,3.6,0.985247,0,900.0,2.8155,0.876799,0.0
1450,29,50,1,53.0,4.8,0.985174,0,900.0,2.8151,0.876705,0.0
1450,29,50,1,53.0,6.0,0.985218,0,900.0,2.8155,0.87665,0.0
1450,58,25,0,50.0,0.0,0.975223,0,300.0,2.896,0.836166,0.0
1450,58,25,0,50.0,2.4,0.97513,0,300.0,2.8964,0.83612,0.0
1450,58,25,0,50.0,4.8,0.975147,0,300.0,2.8968,0.836243,0.0
1450,58,25,0,50.0,7.2,0.975452,0,300.0,2.8963,0.836121,0.0
1450,58,25,0,50.0,9.6,0.975281,0,300.0,2.8963,0.836239,0.0
1450,58,25,0,50.0,12.0,0.975079,0,300.0,2.8967,0.83622,0.0
1450,58,25,1,50.0,0.0,0.979325,0,300.0,2.8963,0.846126,0.0
1450,58,25,1,50.0,2.4,0.979312,0,300.0,2.8964,0.845867,0.0
1450,58,25,1,50.0,4.8,0.979266,0,300.0,2.8967,0.846079,0.0
1450,58,25,1,50.0,7.2,0.979402,0,300.0,2.8961,0.845926,0.0
1450,58,25,1,50.0,9.6,0.979211,0,300.0,2.8962,0.84618,0.0
1450,58,25,1,50.0,12.0,0.979207,0,300.0,2.8964,0.845813,0.0
