planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,C1,C2,avg_multiplicity,c_min,max_gap_s,strict_double_time_rate
1,40,40,0,49.0,0.0,4.5,0.14597209091179494,0.0,0.14597209091179494,0,7800.0,0.0
1,40,40,0,49.0,10.0,6.75,0.14137351207477902,0.0,0.14137351207477902,0,7800.0,0.0
1,40,40,0,49.0,50.0,4.5,0.13510316024915975,0.0,0.13510316024915975,0,7800.0,0.0
1,40,40,0,49.0,50.0,6.75,0.12808404768536133,0.0,0.12808404768536133,0,7800.0,0.0
1,40,40,0,49.0,0.0,6.75,0.12775285287383276,0.0,0.12775285287383276,0,7800.0,0.0
1,40,40,0,49.0,20.0,0.0,0.12559867034551664,0.0,0.12559867034551664,0,7800.0,0.0
1,40,40,0,49.0,10.0,0.0,0.12387647938110134,0.0,0.12387647938110134,0,7800.0,0.0
1,40,40,0,49.0,40.0,4.5,0.11896350786505626,0.0,0.11896350786505626,0,7800.0,0.0
1,40,40,0,49.0,30.0,2.25,0.11623556826559897,0.0,0.11623556826559897,0,7800.0,0.0
1,40,40,0,49.0,40.0,2.25,0.11346356094698717,0.0,0.11346356094698717,0,7800.0,0.0
1,40,40,0,49.0,20.0,2.25,0.10034767968029447,0.0,0.10034767968029447,0,7800.0,0.0
1,40,40,0,49.0,30.0,0.0,0.09274750368643883,0.0,0.09274750368643883,0,7800.0,0.0
1,40,40,0,49.0,0.0,2.25,0.09107980509140043,0.0,0.09107980509140043,0,7800.0,0.0
1,40,40,0,49.0,10.0,4.5,0.08589022493501673,0.0,0.08589022493501673,0,7800.0,0.0
1,40,40,0,49.0,0.0,0.0,0.08512995941761692,0.0017445714839105589,0.0868745309015275,0,7800.0,0.0
1,40,40,0,49.0,20.0,6.75,0.0829820969210316,0.0,0.0829820969210316,0,7800.0,0.0
1,40,40,0,49.0,50.0,2.25,0.07884420107349523,0.0,0.07884420107349523,0,7800.0,0.0
1,40,40,0,49.0,30.0,4.5,0.07604852354815866,0.0,0.07604852354815866,0,7800.0,0.0
1,40,40,0,49.0,10.0,2.25,0.06449850349703008,0.0017445714839105589,0.06624307498094065,0,7800.0,0.0
1,40,40,0,49.0,40.0,6.75,0.057528725780738234,0.0,0.057528725780738234,0,7800.0,0.0
1,40,40,0,49.0,50.0,0.0,0.0547160318167009,0.0017445714839105589,0.056460603300611464,0,7800.0,0.0
1,40,40,0,49.0,40.0,0.0,0.053354625589782954,0.0,0.053354625589782954,0,7800.0,0.0
1,40,40,0,49.0,20.0,4.5,0.04056415801973539,0.0017445714839105589,0.04230872950364595,0,7800.0,0.0
1,40,40,0,49.0,30.0,6.75,0.04022167940816831,0.0017445714839105589,0.041966250892078866,0,7800.0,0.0
