stage,planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,c_min,min_margin,single_coverage_time_rate,strict_double_time_rate,max_uncovered_gap_s,worst_time_s,mean_critical_points,max_critical_points,evaluated_time_steps,stopped_early,backend
screen,1,40,40,0,79.35317286905354,114.998962841928,2.307181972078979,0,-0.7445888073486089,0.0,0.0,21600.0,16800.0,56.821917808219176,110,73,False,scipy-cKDTree
screen,2,20,40,0,60.1098235232559,45.167614594101906,16.696320639923215,0,-0.443107130306686,0.0,0.0,21600.0,14100.0,25.36986301369863,36,73,False,scipy-cKDTree
screen,2,20,40,1,56.311003786523806,28.671086691319942,4.40033870190382,0,-0.38808994927811824,0.0,0.0,21600.0,4500.0,33.35616438356164,49,73,False,scipy-cKDTree
screen,4,10,40,0,54.1851548943379,75.48185412772,29.20741942897439,0,-0.17034374917395367,0.0,0.0,21600.0,4500.0,31.397260273972602,44,73,False,scipy-cKDTree
screen,4,10,40,1,84.01993106993028,21.423621056601405,24.625359389930964,0,-0.28882560076892416,0.0,0.0,21600.0,5400.0,26.068493150684933,41,73,False,scipy-cKDTree
screen,4,10,40,2,73.65910520169234,88.96334331482649,5.0305750742554665,0,-0.25274374916579634,0.0,0.0,21600.0,21600.0,24.054794520547944,36,73,False,scipy-cKDTree
screen,4,10,40,3,82.97210283866681,30.474763121455908,21.953035354614258,0,-0.29473677899383055,0.0,0.0,21600.0,7200.0,26.273972602739725,49,73,False,scipy-cKDTree
screen,5,8,40,0,63.645846177775475,67.6861269325018,18.37575470097363,0,-0.10885775304343892,0.0,0.0,21600.0,13200.0,26.904109589041095,36,73,False,scipy-cKDTree
screen,5,8,40,1,64.0907593031402,41.73823454976082,8.075652359984815,0,-0.119131809664482,0.0,0.0,21600.0,21600.0,27.19178082191781,44,73,False,scipy-cKDTree
screen,5,8,40,2,86.65872590209972,10.135971575975418,18.879582309164107,0,-0.10924426011776167,0.0,0.0,21600.0,15300.0,22.958904109589042,44,73,False,scipy-cKDTree
screen,5,8,40,3,65.67045095807842,4.977112479507923,32.89645361714065,0,-0.10794263698267215,0.0,0.0,21600.0,16200.0,24.71232876712329,44,73,False,scipy-cKDTree
screen,5,8,40,4,87.08932899985635,58.78303782641888,18.013317100703716,0,-0.09878969522334213,0.0,0.0,21600.0,12300.0,23.28767123287671,44,73,False,scipy-cKDTree
screen,8,5,40,0,74.25995311484795,2.0391325978562236,39.129753023386,0,-0.11018479482864862,0.0,0.0,21600.0,19800.0,24.561643835616437,62,73,False,scipy-cKDTree
screen,8,5,40,1,70.5356754893596,33.81842193659395,29.281750448048115,0,-0.1409337523407923,0.0,0.0,21600.0,1500.0,23.506849315068493,36,73,False,scipy-cKDTree
screen,8,5,40,2,84.8075053845948,25.151299322023988,7.013374887406826,0,-0.10399071279008187,0.0,0.0,21600.0,10200.0,24.465753424657535,49,73,False,scipy-cKDTree
screen,8,5,40,3,86.92198309142037,5.342202968895435,44.93509805202484,0,-0.15553789039597965,0.0,0.0,21600.0,9600.0,24.945205479452056,44,73,False,scipy-cKDTree
screen,8,5,40,4,76.27791354606109,22.186256228014827,65.71413528174162,0,-0.11954458941386048,0.0,0.0,21600.0,12300.0,24.73972602739726,46,73,False,scipy-cKDTree
screen,8,5,40,5,85.96499490163713,36.744596092030406,4.272935584187508,0,-0.1565141786978793,0.0,0.0,21600.0,17100.0,24.383561643835616,41,73,False,scipy-cKDTree
screen,8,5,40,6,61.939363824783904,39.759947578422725,35.11549115180969,0,-0.12494812237457809,0.0,0.0,21600.0,2700.0,26.356164383561644,44,73,False,scipy-cKDTree
screen,8,5,40,7,89.04431075178935,39.85081197693944,69.56411587446928,0,-0.15800554607313555,0.0,0.0,21600.0,900.0,24.52054794520548,46,73,False,scipy-cKDTree
screen,10,4,40,0,55.79597118921554,14.719563961029053,74.59659774787724,0,-0.16730454861257316,0.0,0.0,21600.0,9600.0,30.84931506849315,60,73,False,scipy-cKDTree
screen,10,4,40,1,58.20358534035074,21.360372941941023,39.786883955821395,0,-0.09615177278303766,0.0,0.0,21600.0,7200.0,31.397260273972602,49,73,False,scipy-cKDTree
screen,10,4,40,2,53.24127677746844,25.220820352435112,49.54981748946011,0,-0.11573090433620081,0.0,0.0,21600.0,14100.0,32.95890410958904,62,73,False,scipy-cKDTree
screen,10,4,40,3,88.4336962236046,11.54024314507842,65.68640333600342,0,-0.13583037207850734,0.0,0.0,21600.0,19800.0,24.904109589041095,41,73,False,scipy-cKDTree
screen,10,4,40,4,71.66111639863908,27.353705383837223,9.978574756532907,0,-0.15627623602370821,0.0,0.0,21600.0,300.0,24.164383561643834,52,73,False,scipy-cKDTree
screen,10,4,40,5,89.35084037612826,11.795339226722717,55.6979757361114,0,-0.14873365013395834,0.0,0.0,21600.0,13800.0,24.726027397260275,44,73,False,scipy-cKDTree
screen,10,4,40,6,63.42289181712516,35.2547736056149,42.60631201788783,0,-0.2185915608979042,0.0,0.0,21600.0,18600.0,26.356164383561644,52,73,False,scipy-cKDTree
screen,10,4,40,7,61.15304244098117,24.546692714095116,27.57479720748961,0,-0.2531470465482504,0.0,0.0,21600.0,12600.0,28.45205479452055,54,73,False,scipy-cKDTree
screen,10,4,40,8,86.0698695256123,27.406975027173758,43.662972366437316,0,-0.23368512497524385,0.0,0.0,21600.0,6600.0,23.671232876712327,36,73,False,scipy-cKDTree
screen,10,4,40,9,55.54187670983327,13.088430851697922,14.809664273634553,0,-0.1413461052781706,0.0,0.0,21600.0,10800.0,33.726027397260275,59,73,False,scipy-cKDTree
screen,20,2,40,0,67.04758527644205,4.412871005013585,122.85115621984005,0,-0.5479998372088549,0.0,0.0,21600.0,13800.0,24.397260273972602,53,73,False,scipy-cKDTree
screen,20,2,40,1,74.03729861710603,5.6457113809883595,70.81468379124999,0,-0.306483170372164,0.0,0.0,21600.0,13800.0,24.958904109589042,54,73,False,scipy-cKDTree
screen,20,2,40,2,63.91622678481491,4.0724221877753735,165.33444922417402,0,-0.24820162177538707,0.0,0.0,21600.0,5400.0,27.958904109589042,54,73,False,scipy-cKDTree
screen,20,2,40,3,75.58625163449368,7.025447007268667,93.87914914637804,0,-0.18921293916066662,0.0,0.0,21600.0,6900.0,25.21917808219178,49,73,False,scipy-cKDTree
screen,20,2,40,4,72.09380851423627,17.159668592736125,38.61917244270444,0,-0.1699351656249185,0.0,0.0,21600.0,10200.0,24.753424657534246,49,73,False,scipy-cKDTree
screen,20,2,40,5,88.1780756126723,12.581136211752892,60.744484942406416,0,-0.137397518242792,0.0,0.0,21600.0,16200.0,24.575342465753426,54,73,False,scipy-cKDTree
screen,20,2,40,6,54.67470204670628,2.3272371254861355,130.9782919473946,0,-0.13472484245974403,0.0,0.0,21600.0,8700.0,30.767123287671232,52,73,False,scipy-cKDTree
screen,20,2,40,7,65.6804598936047,2.5275583416223526,65.69714365527034,0,-0.14226936277913027,0.0,0.0,21600.0,17400.0,26.73972602739726,75,73,False,scipy-cKDTree
screen,20,2,40,8,85.22835603041744,2.860214453190565,107.28876493871212,0,-0.16952680865624747,0.0,0.0,21600.0,13800.0,23.561643835616437,49,73,False,scipy-cKDTree
screen,20,2,40,9,60.565772253758816,4.962162718176842,68.83453410118818,0,-0.2640783774120359,0.0,0.0,21600.0,10800.0,28.232876712328768,49,73,False,scipy-cKDTree
screen,20,2,40,10,50.0659551871001,8.67202913761139,95.6614232249558,0,-0.13591338843000644,0.0,0.0,21600.0,600.0,28.438356164383563,60,73,False,scipy-cKDTree
screen,20,2,40,11,65.40356894512182,3.9733409006148577,107.30451235547662,0,-0.14314473036287523,0.0,0.0,21600.0,1200.0,26.945205479452056,52,73,False,scipy-cKDTree
screen,20,2,40,12,53.04309134845155,0.7456272337585688,148.9323060773313,0,-0.13502524259433146,0.0,0.0,21600.0,8100.0,36.273972602739725,54,73,False,scipy-cKDTree
screen,20,2,40,13,75.50518080074035,10.42660541832447,14.349323697388172,0,-0.10122763271249025,0.0,0.0,21600.0,18000.0,23.28767123287671,28,73,False,scipy-cKDTree
screen,20,2,40,14,64.07152543292956,7.059598468244076,171.22631024569273,0,-0.14677953282629708,0.0,0.0,21600.0,7800.0,26.78082191780822,57,73,False,scipy-cKDTree
screen,20,2,40,15,59.95624975438744,16.007147451862693,150.30396027490497,0,-0.09011015208077311,0.0,0.0,21600.0,15900.0,28.041095890410958,44,73,False,scipy-cKDTree
screen,20,2,40,16,60.7650903434195,14.86501358449459,58.43024482950568,0,-0.2873292975947257,0.0,0.0,21600.0,17100.0,30.616438356164384,62,73,False,scipy-cKDTree
