total_satellites,planes,sats_per_plane,phase_factor,screen_evaluations,local_starts_retained,selected_for_refinement
40,1,40,0,1,1,0
40,2,20,0,1,1,0
40,2,20,1,1,1,0
40,4,10,0,1,1,0
40,4,10,1,1,1,0
40,4,10,2,1,1,0
40,4,10,3,1,1,0
40,5,8,0,1,1,0
40,5,8,1,1,1,0
40,5,8,2,1,1,0
40,5,8,3,1,1,0
40,5,8,4,1,1,0
40,8,5,0,1,1,0
40,8,5,1,1,1,0
40,8,5,2,1,1,0
40,8,5,3,1,1,0
40,8,5,4,1,1,0
40,8,5,5,1,1,0
40,8,5,6,1,1,0
40,8,5,7,1,1,0
40,10,4,0,1,1,0
40,10,4,1,1,1,0
40,10,4,2,1,1,0
40,10,4,3,1,1,0
40,10,4,4,1,1,0
40,10,4,5,1,1,0
40,10,4,6,1,1,0
40,10,4,7,1,1,0
40,10,4,8,1,1,0
40,10,4,9,1,1,0
40,20,2,0,1,1,0
40,20,2,1,1,1,0
40,20,2,2,1,1,0
40,20,2,3,1,1,0
40,20,2,4,1,1,0
40,20,2,5,1,1,0
40,20,2,6,1,1,0
40,20,2,7,1,1,0
40,20,2,8,1,1,0
40,20,2,9,1,1,0
40,20,2,10,1,1,0
40,20,2,11,1,1,0
40,20,2,12,1,1,0
40,20,2,13,1,1,0
40,20,2,14,1,1,0
40,20,2,15,1,1,1
40,20,2,16,1,1,0
40,20,2,17,1,1,0
40,20,2,18,1,1,0
40,20,2,19,1,1,0
40,40,1,0,1,1,0
40,40,1,1,1,1,0
40,40,1,2,1,1,0
40,40,1,3,1,1,0
40,40,1,4,1,1,0
40,40,1,5,1,1,0
40,40,1,6,1,1,0
40,40,1,7,1,1,0
40,40,1,8,1,1,0
40,40,1,9,1,1,0
40,40,1,10,1,1,0
40,40,1,11,1,1,0
40,40,1,12,1,1,0
40,40,1,13,1,1,0
40,40,1,14,1,1,0
40,40,1,15,1,1,0
40,40,1,16,1,1,0
40,40,1,17,1,1,0
40,40,1,18,1,1,0
40,40,1,19,1,1,0
40,40,1,20,1,1,0
40,40,1,21,1,1,0
40,40,1,22,1,1,0
40,40,1,23,1,1,0
40,40,1,24,1,1,0
40,40,1,25,1,1,0
40,40,1,26,1,1,0
40,40,1,27,1,1,0
40,40,1,28,1,1,0
40,40,1,29,1,1,0
40,40,1,30,1,1,0
40,40,1,31,1,1,0
40,40,1,32,1,1,0
40,40,1,33,1,1,0
40,40,1,34,1,1,1
40,40,1,35,1,1,0
40,40,1,36,1,1,0
40,40,1,37,1,1,0
40,40,1,38,1,1,0
40,40,1,39,1,1,0
