stage,planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,c_min,min_margin,single_coverage_time_rate,strict_double_time_rate,max_uncovered_gap_s,worst_time_s,mean_critical_points,max_critical_points,evaluated_time_steps,stopped_early,backend
screen,1,40,40,0,79.35317286905354,114.998962841928,2.307181972078979,0,-0.25417039157845267,0.0,0.0,0.0,0.0,88.0,88,1,True,scipy-cKDTree
screen,1,40,40,0,55.24550740361165,189.74465746432543,7.365281950682402,0,-0.6800576444710291,0.0,0.0,0.0,0.0,12.0,12,1,True,scipy-cKDTree
screen,1,40,40,0,62.24477065620927,84.23478920012712,1.0441294619813561,0,-0.23927296621940886,0.0,0.0,0.0,0.0,98.0,98,1,True,scipy-cKDTree
screen,1,40,40,0,80.1441561942891,333.00316628068686,4.977238057181239,0,-0.704197708183171,0.0,0.0,0.0,0.0,20.0,20,1,True,scipy-cKDTree
screen,1,40,40,0,87.78615455921963,36.06757443398237,8.265369303524494,0,-0.808256023129142,0.0,0.0,0.0,0.0,12.0,12,1,True,scipy-cKDTree
screen,1,40,40,0,64.9870849440674,290.4730040207505,4.332277975045145,0,-0.17130730014214057,0.0,0.0,0.0,0.0,88.0,88,1,True,scipy-cKDTree
screen,1,40,40,0,52.47021972753062,162.45181683450937,6.43495505489409,0,-0.839970720474984,0.0,0.0,0.0,0.0,12.0,12,1,True,scipy-cKDTree
screen,1,40,40,0,71.73907580160787,231.58309679478407,1.3768379436805844,0,-0.7909694522146307,0.0,0.0,0.0,0.0,12.0,12,1,True,scipy-cKDTree
screen,2,20,40,0,60.1098235232559,45.167614594101906,16.696320639923215,0,-0.43932497354255307,0.0,0.0,0.0,0.0,28.0,28,1,True,scipy-cKDTree
screen,2,20,40,0,87.85257343883772,160.87485026568174,0.6111800651997328,0,-0.8835791716051195,0.0,0.0,0.0,0.0,12.0,12,1,True,scipy-cKDTree
screen,2,20,40,0,69.22739981789353,33.83677415549755,10.180747903883457,0,-0.5421917226468296,0.0,0.0,0.0,0.0,12.0,12,1,True,scipy-cKDTree
screen,2,20,40,0,57.0667469704606,104.71670117229223,8.230604086071253,0,-0.09385890759764548,0.0,0.0,0.0,0.0,44.0,44,1,True,scipy-cKDTree
screen,2,20,40,0,53.219091449794114,15.054293721914291,2.343594778329134,0,-0.3450773068189561,0.0,0.0,0.0,0.0,44.0,44,1,True,scipy-cKDTree
screen,2,20,40,0,75.78894096647161,124.87234253436327,13.820950381457806,0,-0.32825698435998385,0.0,0.0,0.0,0.0,44.0,44,1,True,scipy-cKDTree
screen,2,20,40,0,83.94500191147918,71.2230858206749,6.533379150554538,0,-0.5278530866786718,0.0,0.0,0.0,0.0,57.0,57,1,True,scipy-cKDTree
screen,2,20,40,0,66.56833960877887,136.21451262384653,13.02072292752564,0,-0.3832574897133406,0.0,0.0,0.0,0.0,28.0,28,1,True,scipy-cKDTree
screen,2,20,40,1,56.311003786523806,28.671086691319942,4.40033870190382,0,-0.3591020438778525,0.0,0.0,0.0,0.0,36.0,36,1,True,scipy-cKDTree
